Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2019-08-09,Liverpool,Norwich City,4.0,1.0,H
2019-08-10,West Ham,Man City,0.0,5.0,A
2019-08-10,Burnley,Southampton,3.0,0.0,H
2019-08-10,Crystal Palace,Everton,0.0,0.0,D
2019-08-10,Watford,Brighton,0.0,3.0,A
2019-08-10,Bournemouth,Sheffield United,1.0,1.0,D
2019-08-10,Tottenham,Aston Villa,3.0,1.0,H
2019-08-11,Leicester,Wolves,0.0,0.0,D
2019-08-11,Newcastle,Arsenal,0.0,1.0,A
2019-08-11,Man United,Chelsea,4.0,0.0,H
2019-08-17,Arsenal,Burnley,2.0,1.0,H
2019-08-17,Aston Villa,Bournemouth,1.0,2.0,A
2019-08-17,Everton,Watford,1.0,0.0,H
2019-08-17,Norwich City,Newcastle,3.0,1.0,H
2019-08-17,Southampton,Liverpool,1.0,2.0,A
2019-08-17,Brighton,West Ham,1.0,1.0,D
2019-08-17,Man City,Tottenham,2.0,2.0,D
2019-08-18,Sheffield United,Crystal Palace,1.0,0.0,H
2019-08-18,Chelsea,Leicester,1.0,1.0,D
2019-08-19,Wolves,Man United,1.0,1.0,D
2019-08-23,Aston Villa,Everton,2.0,0.0,H
2019-08-24,Norwich City,Chelsea,2.0,3.0,A
2019-08-24,Man United,Crystal Palace,1.0,2.0,A
2019-08-24,Sheffield United,Leicester,1.0,2.0,A
2019-08-24,Brighton,Southampton,0.0,2.0,A
2019-08-24,Watford,West Ham,1.0,3.0,A
2019-08-24,Liverpool,Arsenal,3.0,1.0,H
2019-08-25,Bournemouth,Man City,1.0,3.0,A
2019-08-25,Wolves,Burnley,1.0,1.0,D
2019-08-25,Tottenham,Newcastle,0.0,1.0,A
2019-08-31,Southampton,Man United,1.0,1.0,D
2019-08-31,Man City,Brighton,4.0,0.0,H
2019-08-31,Newcastle,Watford,1.0,1.0,D
2019-08-31,Chelsea,Sheffield United,2.0,2.0,D
2019-08-31,Leicester,Bournemouth,3.0,1.0,H
2019-08-31,West Ham,Norwich City,2.0,0.0,H
2019-08-31,Crystal Palace,Aston Villa,1.0,0.0,H
2019-08-31,Burnley,Liverpool,0.0,3.0,A
2019-09-01,Everton,Wolves,3.0,2.0,H
2019-09-01,Arsenal,Tottenham,2.0,2.0,D
2019-09-14,Liverpool,Newcastle,3.0,1.0,H
2019-09-14,Wolves,Chelsea,2.0,5.0,A
2019-09-14,Tottenham,Crystal Palace,4.0,0.0,H
2019-09-14,Man United,Leicester,1.0,0.0,H
2019-09-14,Sheffield United,Southampton,0.0,1.0,A
2019-09-14,Brighton,Burnley,1.0,1.0,D
2019-09-14,Norwich City,Man City,3.0,2.0,H
2019-09-15,Bournemouth,Everton,3.0,1.0,H
2019-09-15,Watford,Arsenal,2.0,2.0,D
2019-09-16,Aston Villa,West Ham,0.0,0.0,D
2019-09-20,Southampton,Bournemouth,1.0,3.0,A
2019-09-21,Leicester,Tottenham,2.0,1.0,H
2019-09-21,Man City,Watford,8.0,0.0,H
2019-09-21,Everton,Sheffield United,0.0,2.0,A
2019-09-21,Burnley,Norwich City,2.0,0.0,H
2019-09-21,Newcastle,Brighton,0.0,0.0,D
2019-09-22,West Ham,Man United,2.0,0.0,H
2019-09-22,Crystal Palace,Wolves,1.0,1.0,D
2019-09-22,Arsenal,Aston Villa,3.0,2.0,H
2019-09-22,Chelsea,Liverpool,1.0,2.0,A
2019-09-28,Sheffield United,Liverpool,0.0,1.0,A
2019-09-28,Wolves,Watford,2.0,0.0,H
2019-09-28,Aston Villa,Burnley,2.0,2.0,D
2019-09-28,Chelsea,Brighton,2.0,0.0,H
2019-09-28,Tottenham,Southampton,2.0,1.0,H
2019-09-28,Crystal Palace,Norwich City,2.0,0.0,H
2019-09-28,Bournemouth,West Ham,2.0,2.0,D
2019-09-28,Everton,Man City,1.0,3.0,A
2019-09-29,Leicester,Newcastle,5.0,0.0,H
2019-09-30,Man United,Arsenal,1.0,1.0,D
2019-10-05,Brighton,Tottenham,3.0,0.0,H
2019-10-05,Liverpool,Leicester,2.0,1.0,H
2019-10-05,Norwich City,Aston Villa,1.0,5.0,A
2019-10-05,Burnley,Everton,1.0,0.0,H
2019-10-05,Watford,Sheffield United,0.0,0.0,D
2019-10-05,West Ham,Crystal Palace,1.0,2.0,A
2019-10-06,Man City,Wolves,0.0,2.0,A
2019-10-06,Arsenal,Bournemouth,1.0,0.0,H
2019-10-06,Southampton,Chelsea,1.0,4.0,A
2019-10-06,Newcastle,Man United,1.0,0.0,H
2019-10-19,Everton,West Ham,2.0,0.0,H
2019-10-19,Wolves,Southampton,1.0,1.0,D
2019-10-19,Aston Villa,Brighton,2.0,1.0,H
2019-10-19,Chelsea,Newcastle,1.0,0.0,H
2019-10-19,Tottenham,Watford,1.0,1.0,D
2019-10-19,Leicester,Burnley,2.0,1.0,H
2019-10-19,Bournemouth,Norwich City,0.0,0.0,D
2019-10-19,Crystal Palace,Man City,0.0,2.0,A
2019-10-20,Man United,Liverpool,1.0,1.0,D
2019-10-21,Sheffield United,Arsenal,1.0,0.0,H
2019-10-25,Southampton,Leicester,0.0,9.0,A
2019-10-26,Man City,Aston Villa,3.0,0.0,H
2019-10-26,West Ham,Sheffield United,1.0,1.0,D
2019-10-26,Brighton,Everton,3.0,2.0,H
2019-10-26,Watford,Bournemouth,0.0,0.0,D
2019-10-26,Burnley,Chelsea,2.0,4.0,A
2019-10-27,Newcastle,Wolves,1.0,1.0,D
2019-10-27,Liverpool,Tottenham,2.0,1.0,H
2019-10-27,Arsenal,Crystal Palace,2.0,2.0,D
2019-10-27,Norwich City,Man United,1.0,3.0,A
2019-11-02,Bournemouth,Man United,1.0,0.0,H
2019-11-02,Brighton,Norwich City,2.0,0.0,H
2019-11-02,Aston Villa,Liverpool,1.0,2.0,A
2019-11-02,Man City,Southampton,2.0,1.0,H
2019-11-02,Arsenal,Wolves,1.0,1.0,D
2019-11-02,Sheffield United,Burnley,3.0,0.0,H
2019-11-02,West Ham,Newcastle,2.0,3.0,A
2019-11-02,Watford,Chelsea,1.0,2.0,A
2019-11-03,Crystal Palace,Leicester,0.0,2.0,A
2019-11-03,Everton,Tottenham,1.0,1.0,D
2019-11-08,Norwich City,Watford,0.0,2.0,A
2019-11-09,Chelsea,Crystal Palace,2.0,0.0,H
2019-11-09,Newcastle,Bournemouth,2.0,1.0,H
2019-11-09,Tottenham,Sheffield United,1.0,1.0,D
2019-11-09,Burnley,West Ham,3.0,0.0,H
2019-11-09,Southampton,Everton,1.0,2.0,A
2019-11-09,Leicester,Arsenal,2.0,0.0,H
2019-11-10,Wolves,Aston Villa,2.0,1.0,H
2019-11-10,Man United,Brighton,3.0,1.0,H
2019-11-10,Liverpool,Man City,3.0,1.0,H
2019-11-23,West Ham,Tottenham,2.0,3.0,A
2019-11-23,Arsenal,Southampton,2.0,2.0,D
2019-11-23,Everton,Norwich City,0.0,2.0,A
2019-11-23,Crystal Palace,Liverpool,1.0,2.0,A
2019-11-23,Brighton,Leicester,0.0,2.0,A
2019-11-23,Watford,Burnley,0.0,3.0,A
2019-11-23,Bournemouth,Wolves,1.0,2.0,A
2019-11-23,Man City,Chelsea,2.0,1.0,H
2019-11-24,Sheffield United,Man United,3.0,3.0,D
2019-11-25,Aston Villa,Newcastle,2.0,0.0,H
2019-11-30,Newcastle,Man City,2.0,2.0,D
2019-11-30,Liverpool,Brighton,2.0,1.0,H
2019-11-30,Chelsea,West Ham,0.0,1.0,A
2019-11-30,Tottenham,Bournemouth,3.0,2.0,H
2019-11-30,Burnley,Crystal Palace,0.0,2.0,A
2019-11-30,Southampton,Watford,2.0,1.0,H
2019-12-01,Wolves,Sheffield United,1.0,1.0,D
2019-12-01,Norwich City,Arsenal,2.0,2.0,D
2019-12-01,Man United,Aston Villa,2.0,2.0,D
2019-12-01,Leicester,Everton,2.0,1.0,H
2019-12-03,Crystal Palace,Bournemouth,1.0,0.0,H
2019-12-03,Burnley,Man City,1.0,4.0,A
2019-12-04,Wolves,West Ham,2.0,0.0,H
2019-12-04,Man United,Tottenham,2.0,1.0,H
2019-12-04,Leicester,Watford,2.0,0.0,H
2019-12-04,Chelsea,Aston Villa,2.0,1.0,H
2019-12-04,Southampton,Norwich City,2.0,1.0,H
2019-12-04,Liverpool,Everton,5.0,2.0,H
2019-12-05,Sheffield United,Newcastle,0.0,2.0,A
2019-12-05,Arsenal,Brighton,1.0,2.0,A
2019-12-07,Everton,Chelsea,3.0,1.0,H
2019-12-07,Tottenham,Burnley,5.0,0.0,H
2019-12-07,Watford,Crystal Palace,0.0,0.0,D
2019-12-07,Bournemouth,Liverpool,0.0,3.0,A
2019-12-07,Man City,Man United,1.0,2.0,A
2019-12-08,Aston Villa,Leicester,1.0,4.0,A
2019-12-08,Newcastle,Southampton,2.0,1.0,H
2019-12-08,Norwich City,Sheffield United,1.0,2.0,A
2019-12-08,Brighton,Wolves,2.0,2.0,D
2019-12-09,West Ham,Arsenal,1.0,3.0,A
2019-12-14,Liverpool,Watford,2.0,0.0,H
2019-12-14,Chelsea,Bournemouth,0.0,1.0,A
2019-12-14,Sheffield United,Aston Villa,2.0,0.0,H
2019-12-14,Leicester,Norwich City,1.0,1.0,D
2019-12-14,Burnley,Newcastle,1.0,0.0,H
2019-12-14,Southampton,West Ham,0.0,1.0,A
2019-12-15,Wolves,Tottenham,1.0,2.0,A
2019-12-15,Man United,Everton,1.0,1.0,D
2019-12-15,Arsenal,Man City,0.0,3.0,A
2019-12-16,Crystal Palace,Brighton,1.0,1.0,D
2019-12-21,Everton,Arsenal,0.0,0.0,D
2019-12-21,Aston Villa,Southampton,1.0,3.0,A
2019-12-21,Newcastle,Crystal Palace,1.0,0.0,H
2019-12-21,Norwich City,Wolves,1.0,2.0,A
2019-12-21,Brighton,Sheffield United,0.0,1.0,A
2019-12-21,Bournemouth,Burnley,0.0,1.0,A
2019-12-21,Man City,Leicester,3.0,1.0,H
2019-12-22,Watford,Man United,2.0,0.0,H
2019-12-22,Tottenham,Chelsea,0.0,2.0,A
2019-12-26,Tottenham,Brighton,2.0,1.0,H
2019-12-26,Aston Villa,Norwich City,1.0,0.0,H
2019-12-26,Chelsea,Southampton,0.0,2.0,A
2019-12-26,Everton,Burnley,1.0,0.0,H
2019-12-26,Sheffield United,Watford,1.0,1.0,D
2019-12-26,Crystal Palace,West Ham,2.0,1.0,H
2019-12-26,Bournemouth,Arsenal,1.0,1.0,D
2019-12-26,Man United,Newcastle,4.0,1.0,H
2019-12-26,Leicester,Liverpool,0.0,4.0,A
2019-12-27,Wolves,Man City,3.0,2.0,H
2019-12-28,Brighton,Bournemouth,2.0,0.0,H
2019-12-28,Newcastle,Everton,1.0,2.0,A
2019-12-28,Southampton,Crystal Palace,1.0,1.0,D
2019-12-28,Watford,Aston Villa,3.0,0.0,H
2019-12-28,Norwich City,Tottenham,2.0,2.0,D
2019-12-28,West Ham,Leicester,1.0,2.0,A
2019-12-28,Burnley,Man United,0.0,2.0,A
2019-12-29,Arsenal,Chelsea,1.0,2.0,A
2019-12-29,Liverpool,Wolves,1.0,0.0,H
2019-12-29,Man City,Sheffield United,2.0,0.0,H
2020-01-01,Burnley,Aston Villa,1.0,2.0,A
2020-01-01,Brighton,Chelsea,1.0,1.0,D
2020-01-01,Newcastle,Leicester,0.0,3.0,A
2020-01-01,Southampton,Tottenham,1.0,0.0,H
2020-01-01,Watford,Wolves,2.0,1.0,H
2020-01-01,Man City,Everton,2.0,1.0,H
2020-01-01,Norwich City,Crystal Palace,1.0,1.0,D
2020-01-01,West Ham,Bournemouth,4.0,0.0,H
2020-01-01,Arsenal,Man United,2.0,0.0,H
2020-01-02,Liverpool,Sheffield United,2.0,0.0,H
2020-01-10,Sheffield United,West Ham,1.0,0.0,H
2020-01-11,Crystal Palace,Arsenal,1.0,1.0,D
2020-01-11,Wolves,Newcastle,1.0,1.0,D
2020-01-11,Chelsea,Burnley,3.0,0.0,H
2020-01-11,Everton,Brighton,1.0,0.0,H
2020-01-11,Man United,Norwich City,4.0,0.0,H
2020-01-11,Leicester,Southampton,1.0,2.0,A
2020-01-11,Tottenham,Liverpool,0.0,1.0,A
2020-01-12,Bournemouth,Watford,0.0,3.0,A
2020-01-12,Aston Villa,Man City,1.0,6.0,A
2020-01-18,Watford,Tottenham,0.0,0.0,D
2020-01-18,Man City,Crystal Palace,2.0,2.0,D
2020-01-18,Arsenal,Sheffield United,1.0,1.0,D
2020-01-18,Norwich City,Bournemouth,1.0,0.0,H
2020-01-18,West Ham,Everton,1.0,1.0,D
2020-01-18,Southampton,Wolves,2.0,3.0,A
2020-01-18,Brighton,Aston Villa,1.0,1.0,D
2020-01-18,Newcastle,Chelsea,1.0,0.0,H
2020-01-19,Burnley,Leicester,2.0,1.0,H
2020-01-19,Liverpool,Man United,2.0,0.0,H
2020-01-21,Aston Villa,Watford,2.0,1.0,H
2020-01-21,Everton,Newcastle,2.0,2.0,D
2020-01-21,Sheffield United,Man City,0.0,1.0,A
2020-01-21,Bournemouth,Brighton,3.0,1.0,H
2020-01-21,Crystal Palace,Southampton,0.0,2.0,A
2020-01-21,Chelsea,Arsenal,2.0,2.0,D
2020-01-22,Leicester,West Ham,4.0,1.0,H
2020-01-22,Tottenham,Norwich City,2.0,1.0,H
2020-01-22,Man United,Burnley,0.0,2.0,A
2020-01-23,Wolves,Liverpool,1.0,2.0,A
2020-01-29,West Ham,Liverpool,0.0,2.0,A
2020-02-01,Leicester,Chelsea,2.0,2.0,D
2020-02-01,Liverpool,Southampton,4.0,0.0,H
2020-02-01,Newcastle,Norwich City,0.0,0.0,D
2020-02-01,West Ham,Brighton,3.0,3.0,D
2020-02-01,Crystal Palace,Sheffield United,0.0,1.0,A
2020-02-01,Watford,Everton,2.0,3.0,A
