Team,OVA
Arsenal,83
Chelsea,83
Manchester City,83
Manchester United,83
Liverpool,81
Tottenham Hotspur,81
Everton,80
Stoke City,78
Leicester City,78
West Ham United,78
Southampton,78
Crystal Palace,77
Watford,77
Swansea City,77
Sunderland,76
West Bromwich Albion,75
Middlesbrough,75
Hull City,75
Burnley,74
Bournemouth,74
