,Team,OVA
0,Chelsea,84
1,Arsenal,82
2,Manchester United,82
3,Liverpool,81
4,Tottenham Hotspur,79
5,Newcastle United,79
6,Everton,77
7,Manchester City,77
8,Blackburn Rovers,77
9,Bolton Wanderers,76
10,Middlesbrough,76
11,West Ham United,76
12,Portsmouth,75
13,Fulham,75
14,Charlton Athletic,75
15,Aston Villa,75
16,Wigan Athletic,74
17,Sheffield United,72
18,Reading,71
19,Watford,68
