Team,OVA
Manchester City,85
Chelsea,83
Liverpool,83
Tottenham Hotspur,83
Arsenal,82
Manchester United,82
Everton,79
West Ham United,79
Leicester City,78
Burnley,77
Crystal Palace,77
Watford,77
Bournemouth,76
Brighton & Hove Albion,76
Southampton,76
Wolverhampton Wanderers,76
Newcastle United,76
Fulham,75
Huddersfield Town,75
Cardiff City,73
