,Team,OVA
0,Manchester United,83
1,Chelsea,83
2,Liverpool,81
3,Arsenal,80
4,Tottenham Hotspur,78
5,Newcastle United,77
6,Everton,76
7,Portsmouth,76
8,West Ham United,76
9,Blackburn Rovers,76
10,Aston Villa,75
11,Middlesbrough,75
12,Bolton Wanderers,75
13,Manchester City,75
14,Reading,74
15,Fulham,74
16,Birmingham City,72
17,Wigan Athletic,72
18,Sunderland,71
19,Derby County,69
