Team,OVA
Manchester City,84
Chelsea,83
Manchester United,83
Tottenham Hotspur,83
Arsenal,82
Liverpool,81
Everton,79
Leicester City,78
Watford,77
Burnley,77
West Ham United,77
Crystal Palace,76
Stoke City,76
Southampton,76
West Bromwich Albion,76
Bournemouth,76
Newcastle United,75
Brighton & Hove Albion,75
Swansea City,75
Huddersfield Town,74
