Team,OVA
Chelsea,83
Liverpool,82
Manchester United,82
Arsenal,81
Manchester City,81
Aston Villa,79
Everton,79
Tottenham Hotspur,79
West Ham United,76
Fulham,76
Blackburn Rovers,75
Bolton Wanderers,75
Sunderland,75
Portsmouth,75
Birmingham City,74
Wigan Athletic,74
Stoke City,73
Hull City,73
Burnley,72
Wolverhampton Wanderers,72
