Team,OVA
Chelsea,83
Manchester City,82
Manchester United,81
Arsenal,80
Liverpool,79
Everton,78
Tottenham Hotspur,78
Stoke City,76
Southampton,76
Aston Villa,75
Newcastle United,75
Queens Park Rangers,75
West Ham United,75
Swansea City,75
Sunderland,74
West Bromwich Albion,74
Crystal Palace,73
Hull City,73
Leicester City,72
Burnley,70
