Team,OVA
Manchester United,84
Chelsea,84
Arsenal,81
Liverpool,81
Manchester City,79
Tottenham Hotspur,79
Aston Villa,78
Everton,78
West Ham United,76
Portsmouth,76
Newcastle United,76
Blackburn Rovers,76
Sunderland,75
Middlesbrough,74
Bolton Wanderers,74
Fulham,74
Wigan Athletic,73
West Bromwich Albion,71
Hull City,71
Stoke City,70
