Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2017-08-11,Arsenal,Leicester,4,3,H,82,78,4
2017-08-12,Brighton,Man City,0,2,A,75,84,-9
2017-08-12,Chelsea,Burnley,2,3,A,83,77,6
2017-08-12,Crystal Palace,Huddersfield,0,3,A,76,74,2
2017-08-12,Everton,Stoke,1,0,H,79,76,3
2017-08-12,Southampton,Swansea,0,0,D,76,75,1
2017-08-12,Watford,Liverpool,3,3,D,77,81,-4
2017-08-12,West Brom,Bournemouth,1,0,H,76,76,0
2017-08-13,Man United,West Ham,4,0,H,83,77,6
2017-08-13,Newcastle,Tottenham,0,2,A,75,83,-8
2017-08-19,Bournemouth,Watford,0,2,A,76,77,-1
2017-08-19,Burnley,West Brom,0,1,A,77,76,1
2017-08-19,Leicester,Brighton,2,0,H,78,75,3
2017-08-19,Liverpool,Crystal Palace,1,0,H,81,76,5
2017-08-19,Southampton,West Ham,3,2,H,76,77,-1
2017-08-19,Stoke,Arsenal,1,0,H,76,82,-6
2017-08-19,Swansea,Man United,0,4,A,75,83,-8
2017-08-20,Huddersfield,Newcastle,1,0,H,74,75,-1
2017-08-20,Tottenham,Chelsea,1,2,A,83,83,0
2017-08-21,Man City,Everton,1,1,D,84,79,5
2017-08-26,Bournemouth,Man City,1,2,A,76,84,-8
2017-08-26,Crystal Palace,Swansea,0,2,A,76,75,1
2017-08-26,Huddersfield,Southampton,0,0,D,74,76,-2
2017-08-26,Man United,Leicester,2,0,H,83,78,5
2017-08-26,Newcastle,West Ham,3,0,H,75,77,-2
2017-08-26,Watford,Brighton,0,0,D,77,75,2
2017-08-27,Chelsea,Everton,2,0,H,83,79,4
2017-08-27,Liverpool,Arsenal,4,0,H,81,82,-1
2017-08-27,Tottenham,Burnley,1,1,D,83,77,6
2017-08-27,West Brom,Stoke,1,1,D,76,76,0
2017-09-09,Arsenal,Bournemouth,3,0,H,82,76,6
2017-09-09,Brighton,West Brom,3,1,H,75,76,-1
2017-09-09,Everton,Tottenham,0,3,A,79,83,-4
2017-09-09,Leicester,Chelsea,1,2,A,78,83,-5
2017-09-09,Man City,Liverpool,5,0,H,84,81,3
2017-09-09,Southampton,Watford,0,2,A,76,77,-1
2017-09-09,Stoke,Man United,2,2,D,76,83,-7
2017-09-10,Burnley,Crystal Palace,1,0,H,77,76,1
2017-09-10,Swansea,Newcastle,0,1,A,75,75,0
2017-09-11,West Ham,Huddersfield,2,0,H,77,74,3
2017-09-15,Bournemouth,Brighton,2,1,H,76,75,1
2017-09-16,Crystal Palace,Southampton,0,1,A,76,76,0
2017-09-16,Huddersfield,Leicester,1,1,D,74,78,-4
2017-09-16,Liverpool,Burnley,1,1,D,81,77,4
2017-09-16,Newcastle,Stoke,2,1,H,75,76,-1
2017-09-16,Tottenham,Swansea,0,0,D,83,75,8
2017-09-16,Watford,Man City,0,6,A,77,84,-7
2017-09-16,West Brom,West Ham,0,0,D,76,77,-1
2017-09-17,Chelsea,Arsenal,0,0,D,83,82,1
2017-09-17,Man United,Everton,4,0,H,83,79,4
2017-09-23,Burnley,Huddersfield,0,0,D,77,74,3
2017-09-23,Everton,Bournemouth,2,1,H,79,76,3
2017-09-23,Leicester,Liverpool,2,3,A,78,81,-3
2017-09-23,Man City,Crystal Palace,5,0,H,84,76,8
2017-09-23,Southampton,Man United,0,1,A,76,83,-7
2017-09-23,Stoke,Chelsea,0,4,A,76,83,-7
2017-09-23,Swansea,Watford,1,2,A,75,77,-2
2017-09-23,West Ham,Tottenham,2,3,A,77,83,-6
2017-09-24,Brighton,Newcastle,1,0,H,75,75,0
2017-09-25,Arsenal,West Brom,2,0,H,82,76,6
2017-09-30,Bournemouth,Leicester,0,0,D,76,78,-2
2017-09-30,Chelsea,Man City,0,1,A,83,84,-1
2017-09-30,Huddersfield,Tottenham,0,4,A,74,83,-9
2017-09-30,Man United,Crystal Palace,4,0,H,83,76,7
2017-09-30,Stoke,Southampton,2,1,H,76,76,0
2017-09-30,West Brom,Watford,2,2,D,76,77,-1
2017-09-30,West Ham,Swansea,1,0,H,77,75,2
2017-10-01,Arsenal,Brighton,2,0,H,82,75,7
2017-10-01,Everton,Burnley,0,1,A,79,77,2
2017-10-01,Newcastle,Liverpool,1,1,D,75,81,-6
2017-10-14,Burnley,West Ham,1,1,D,77,77,0
2017-10-14,Crystal Palace,Chelsea,2,1,H,76,83,-7
2017-10-14,Liverpool,Man United,0,0,D,81,83,-2
2017-10-14,Man City,Stoke,7,2,H,84,76,8
2017-10-14,Swansea,Huddersfield,2,0,H,75,74,1
2017-10-14,Tottenham,Bournemouth,1,0,H,83,76,7
2017-10-14,Watford,Arsenal,2,1,H,77,82,-5
2017-10-15,Brighton,Everton,1,1,D,75,79,-4
2017-10-15,Southampton,Newcastle,2,2,D,76,75,1
2017-10-16,Leicester,West Brom,1,1,D,78,76,2
2017-10-20,West Ham,Brighton,0,3,A,77,75,2
2017-10-21,Chelsea,Watford,4,2,H,83,77,6
2017-10-21,Huddersfield,Man United,2,1,H,74,83,-9
2017-10-21,Man City,Burnley,3,0,H,84,77,7
2017-10-21,Newcastle,Crystal Palace,1,0,H,75,76,-1
2017-10-21,Southampton,West Brom,1,0,H,76,76,0
2017-10-21,Stoke,Bournemouth,1,2,A,76,76,0
2017-10-21,Swansea,Leicester,1,2,A,75,78,-3
2017-10-22,Everton,Arsenal,2,5,A,79,82,-3
2017-10-22,Tottenham,Liverpool,4,1,H,83,81,2
2017-10-28,Arsenal,Swansea,2,1,H,82,75,7
2017-10-28,Bournemouth,Chelsea,0,1,A,76,83,-7
2017-10-28,Crystal Palace,West Ham,2,2,D,76,77,-1
2017-10-28,Liverpool,Huddersfield,3,0,H,81,74,7
2017-10-28,Man United,Tottenham,1,0,H,83,83,0
2017-10-28,Watford,Stoke,0,1,A,77,76,1
2017-10-28,West Brom,Man City,2,3,A,76,84,-8
2017-10-29,Brighton,Southampton,1,1,D,75,76,-1
2017-10-29,Leicester,Everton,2,0,H,78,79,-1
2017-10-30,Burnley,Newcastle,1,0,H,77,75,2
2017-11-04,Huddersfield,West Brom,1,0,H,74,76,-2
2017-11-04,Newcastle,Bournemouth,0,1,A,75,76,-1
2017-11-04,Southampton,Burnley,0,1,A,76,77,-1
2017-11-04,Stoke,Leicester,2,2,D,76,78,-2
2017-11-04,Swansea,Brighton,0,1,A,75,75,0
2017-11-04,West Ham,Liverpool,1,4,A,77,81,-4
2017-11-05,Chelsea,Man United,1,0,H,83,83,0
2017-11-05,Everton,Watford,3,2,H,79,77,2
2017-11-05,Man City,Arsenal,3,1,H,84,82,2
2017-11-05,Tottenham,Crystal Palace,1,0,H,83,76,7
2017-11-18,Arsenal,Tottenham,2,0,H,82,83,-1
2017-11-18,Bournemouth,Huddersfield,4,0,H,76,74,2
2017-11-18,Burnley,Swansea,2,0,H,77,75,2
2017-11-18,Crystal Palace,Everton,2,2,D,76,79,-3
2017-11-18,Leicester,Man City,0,2,A,78,84,-6
2017-11-18,Liverpool,Southampton,3,0,H,81,76,5
2017-11-18,Man United,Newcastle,4,1,H,83,75,8
2017-11-18,West Brom,Chelsea,0,4,A,76,83,-7
2017-11-19,Watford,West Ham,2,0,H,77,77,0
2017-11-20,Brighton,Stoke,2,2,D,75,76,-1
2017-11-24,West Ham,Leicester,1,1,D,77,78,-1
2017-11-25,Crystal Palace,Stoke,2,1,H,76,76,0
2017-11-25,Liverpool,Chelsea,1,1,D,81,83,-2
2017-11-25,Man United,Brighton,1,0,H,83,75,8
2017-11-25,Newcastle,Watford,0,3,A,75,77,-2
2017-11-25,Swansea,Bournemouth,0,0,D,75,76,-1
2017-11-25,Tottenham,West Brom,1,1,D,83,76,7
2017-11-26,Burnley,Arsenal,0,1,A,77,82,-5
2017-11-26,Huddersfield,Man City,1,2,A,74,84,-10
2017-11-26,Southampton,Everton,4,1,H,76,79,-3
2017-11-28,Brighton,Crystal Palace,0,0,D,75,76,-1
2017-11-28,Leicester,Tottenham,2,1,H,78,83,-5
2017-11-28,Watford,Man United,2,4,A,77,83,-6
2017-11-28,West Brom,Newcastle,2,2,D,76,75,1
2017-11-29,Arsenal,Huddersfield,5,0,H,82,74,8
2017-11-29,Bournemouth,Burnley,1,2,A,76,77,-1
2017-11-29,Chelsea,Swansea,1,0,H,83,75,8
2017-11-29,Everton,West Ham,4,0,H,79,77,2
2017-11-29,Man City,Southampton,2,1,H,84,76,8
2017-11-29,Stoke,Liverpool,0,3,A,76,81,-5
2017-12-02,Arsenal,Man United,1,3,A,82,83,-1
2017-12-02,Brighton,Liverpool,1,5,A,75,81,-6
2017-12-02,Chelsea,Newcastle,3,1,H,83,75,8
2017-12-02,Everton,Huddersfield,2,0,H,79,74,5
2017-12-02,Leicester,Burnley,1,0,H,78,77,1
2017-12-02,Stoke,Swansea,2,1,H,76,75,1
2017-12-02,Watford,Tottenham,1,1,D,77,83,-6
2017-12-02,West Brom,Crystal Palace,0,0,D,76,76,0
2017-12-03,Bournemouth,Southampton,1,1,D,76,76,0
2017-12-03,Man City,West Ham,2,1,H,84,77,7
2017-12-09,Burnley,Watford,1,0,H,77,77,0
2017-12-09,Crystal Palace,Bournemouth,2,2,D,76,76,0
2017-12-09,Huddersfield,Brighton,2,0,H,74,75,-1
2017-12-09,Newcastle,Leicester,2,3,A,75,78,-3
2017-12-09,Swansea,West Brom,1,0,H,75,76,-1
2017-12-09,Tottenham,Stoke,5,1,H,83,76,7
2017-12-09,West Ham,Chelsea,1,0,H,77,83,-6
2017-12-10,Liverpool,Everton,1,1,D,81,79,2
2017-12-10,Man United,Man City,1,2,A,83,84,-1
2017-12-10,Southampton,Arsenal,1,1,D,76,82,-6
2017-12-12,Burnley,Stoke,1,0,H,77,76,1
2017-12-12,Crystal Palace,Watford,2,1,H,76,77,-1
2017-12-12,Huddersfield,Chelsea,1,3,A,74,83,-9
2017-12-13,Liverpool,West Brom,0,0,D,81,76,5
2017-12-13,Man United,Bournemouth,1,0,H,83,76,7
2017-12-13,Newcastle,Everton,0,1,A,75,79,-4
2017-12-13,Southampton,Leicester,1,4,A,76,78,-2
2017-12-13,Swansea,Man City,0,4,A,75,84,-9
2017-12-13,Tottenham,Brighton,2,0,H,83,75,8
2017-12-13,West Ham,Arsenal,0,0,D,77,82,-5
2017-12-16,Arsenal,Newcastle,1,0,H,82,75,7
2017-12-16,Brighton,Burnley,0,0,D,75,77,-2
2017-12-16,Chelsea,Southampton,1,0,H,83,76,7
2017-12-16,Leicester,Crystal Palace,0,3,A,78,76,2
2017-12-16,Man City,Tottenham,4,1,H,84,83,1
2017-12-16,Stoke,West Ham,0,3,A,76,77,-1
2017-12-16,Watford,Huddersfield,1,4,A,77,74,3
2017-12-17,Bournemouth,Liverpool,0,4,A,76,81,-5
2017-12-17,West Brom,Man United,1,2,A,76,83,-7
2017-12-18,Everton,Swansea,3,1,H,79,75,4
2017-12-22,Arsenal,Liverpool,3,3,D,82,81,1
2017-12-23,Brighton,Watford,1,0,H,75,77,-2
2017-12-23,Burnley,Tottenham,0,3,A,77,83,-6
2017-12-23,Everton,Chelsea,0,0,D,79,83,-4
2017-12-23,Leicester,Man United,2,2,D,78,83,-5
2017-12-23,Man City,Bournemouth,4,0,H,84,76,8
2017-12-23,Southampton,Huddersfield,1,1,D,76,74,2
2017-12-23,Stoke,West Brom,3,1,H,76,76,0
2017-12-23,Swansea,Crystal Palace,1,1,D,75,76,-1
2017-12-23,West Ham,Newcastle,2,3,A,77,75,2
2017-12-26,Bournemouth,West Ham,3,3,D,76,77,-1
2017-12-26,Chelsea,Brighton,2,0,H,83,75,8
2017-12-26,Huddersfield,Stoke,1,1,D,74,76,-2
2017-12-26,Liverpool,Swansea,5,0,H,81,75,6
2017-12-26,Man United,Burnley,2,2,D,83,77,6
2017-12-26,Tottenham,Southampton,5,2,H,83,76,7
2017-12-26,Watford,Leicester,2,1,H,77,78,-1
2017-12-26,West Brom,Everton,0,0,D,76,79,-3
2017-12-27,Newcastle,Man City,0,1,A,75,84,-9
2017-12-28,Crystal Palace,Arsenal,2,3,A,76,82,-6
2017-12-30,Bournemouth,Everton,2,1,H,76,79,-3
2017-12-30,Chelsea,Stoke,5,0,H,83,76,7
2017-12-30,Huddersfield,Burnley,0,0,D,74,77,-3
