,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
66,2018-09-29,Huddersfield,Tottenham,0.0,2.0,A
67,2018-09-29,Chelsea,Liverpool,1.0,1.0,D
68,2018-09-30,Cardiff,Burnley,1.0,2.0,A
69,2018-10-01,Bournemouth,Crystal Palace,2.0,1.0,H
70,2018-10-05,Brighton,West Ham,1.0,0.0,H
71,2018-10-06,Tottenham,Cardiff,1.0,0.0,H
72,2018-10-06,Leicester,Everton,1.0,2.0,A
73,2018-10-06,Burnley,Huddersfield,1.0,1.0,D
74,2018-10-06,Crystal Palace,Wolves,0.0,1.0,A
75,2018-10-06,Watford,Bournemouth,0.0,4.0,A
76,2018-10-06,Man United,Newcastle,3.0,2.0,H
77,2018-10-07,Fulham,Arsenal,1.0,5.0,A
78,2018-10-07,Southampton,Chelsea,0.0,3.0,A
79,2018-10-07,Liverpool,Man City,0.0,0.0,D
80,2018-10-20,Chelsea,Man United,2.0,2.0,D
81,2018-10-20,Wolves,Watford,0.0,2.0,A
82,2018-10-20,Man City,Burnley,5.0,0.0,H
83,2018-10-20,Newcastle,Brighton,0.0,1.0,A
84,2018-10-20,Cardiff,Fulham,4.0,2.0,H
85,2018-10-20,West Ham,Tottenham,0.0,1.0,A
86,2018-10-20,Bournemouth,Southampton,0.0,0.0,D
87,2018-10-20,Huddersfield,Liverpool,0.0,1.0,A
88,2018-10-21,Everton,Crystal Palace,2.0,0.0,H
89,2018-10-22,Arsenal,Leicester,3.0,1.0,H
90,2018-10-27,Fulham,Bournemouth,0.0,3.0,A
91,2018-10-27,Liverpool,Cardiff,4.0,1.0,H
92,2018-10-27,Southampton,Newcastle,0.0,0.0,D
93,2018-10-27,Brighton,Wolves,1.0,0.0,H
94,2018-10-27,Watford,Huddersfield,3.0,0.0,H
95,2018-10-27,Leicester,West Ham,1.0,1.0,D
96,2018-10-28,Burnley,Chelsea,0.0,4.0,A
97,2018-10-28,Crystal Palace,Arsenal,2.0,2.0,D
98,2018-10-28,Man United,Everton,2.0,1.0,H
99,2018-10-29,Tottenham,Man City,0.0,1.0,A
100,2018-11-03,Bournemouth,Man United,1.0,2.0,A
101,2018-11-03,Newcastle,Watford,1.0,0.0,H
102,2018-11-03,Everton,Brighton,3.0,1.0,H
103,2018-11-03,Cardiff,Leicester,0.0,1.0,A
104,2018-11-03,West Ham,Burnley,4.0,2.0,H
105,2018-11-03,Arsenal,Liverpool,1.0,1.0,D
106,2018-11-03,Wolves,Tottenham,2.0,3.0,A
107,2018-11-04,Man City,Southampton,6.0,1.0,H
108,2018-11-04,Chelsea,Crystal Palace,3.0,1.0,H
109,2018-11-05,Huddersfield,Fulham,1.0,0.0,H
