MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_differnece,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_differnece,HT_last_5,HT_last_4,HT_last_3,HT_last_2,HT_last_1,AT_last_5,AT_last_4,AT_last_3,AT_last_2,AT_last_1,HT_last_matches,AT_last_matches,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak
0,2000-08-19,Charlton,Man City,4,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1,2000-08-19,Chelsea,West Ham,4,2,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2,2000-08-19,Coventry,Middlesbrough,1,3,A,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
3,2000-08-19,Derby,Southampton,2,2,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
4,2000-08-19,Leeds,Everton,2,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
5,2000-08-19,Leicester,Aston Villa,0,0,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
6,2000-08-19,Liverpool,Bradford,1,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
7,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
8,2000-08-19,Tottenham,Ipswich,3,1,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
9,2000-08-20,Man United,Newcastle,2,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
10,2000-08-21,Arsenal,Liverpool,2,0,H,1,0,-1,0,1,-1,1,3,-1,1,0,1,,,,,L,,,,,W,L,W,0,0,0,0,0,0,0,0
11,2000-08-22,Bradford,Chelsea,2,0,H,1,0,-1,0,1,-1,1,3,-1,4,2,2,,,,,L,,,,,W,L,W,0,0,0,0,0,0,0,0
12,2000-08-22,Ipswich,Man United,1,1,D,1,0,-1,1,3,-2,1,3,-1,2,0,2,,,,,L,,,,,W,L,W,0,0,0,0,0,0,0,0
13,2000-08-22,Middlesbrough,Tottenham,1,1,D,1,3,-1,3,1,2,1,3,-1,3,1,2,,,,,W,,,,,W,W,W,0,0,0,0,0,0,0,0
14,2000-08-23,Everton,Charlton,3,0,H,1,0,-1,0,2,-2,1,3,-1,4,0,4,,,,,L,,,,,W,L,W,0,0,0,0,0,0,0,0
15,2000-08-23,Man City,Sunderland,4,2,H,1,0,-1,0,4,-4,1,3,-1,1,0,1,,,,,L,,,,,W,L,W,0,0,0,0,0,0,0,0
16,2000-08-23,Newcastle,Derby,3,2,H,1,0,-1,0,2,-2,1,1,-1,2,2,0,,,,,L,,,,,D,L,D,0,0,0,0,0,0,0,0
