Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_differnece,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_differnece,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate
2018-09-01,Chelsea,Bournemouth,2,0,H,83,76,3,9,37.0,8,3,5,1.0,3,7,44.0,6,3,3,0.6666666666666666,0,0,0,0,0,0,0,0,,
2018-09-01,Crystal Palace,Southampton,0,2,A,77,77,3,3,,3,4,-1,0.3333333333333333,3,1,36.0,2,4,-2,0.0,0,0,0,0,0,0,0,0,,
2018-09-01,Everton,Huddersfield,1,1,D,79,75,3,5,,6,5,1,0.3333333333333333,3,1,37.0,1,9,-8,0.0,0,0,0,0,0,0,0,0,,
2018-09-01,Leicester,Liverpool,1,2,A,78,83,3,6,81.0,5,3,2,0.6666666666666666,3,9,75.0,7,0,7,1.0,0,0,0,0,0,0,0,0,,
2018-09-01,Man City,Newcastle,2,1,H,85,76,3,7,63.0,9,2,7,0.6666666666666666,3,1,44.0,2,4,-2,0.0,0,0,0,0,0,0,0,0,,
2018-09-01,West Ham,Wolves,0,1,A,78,76,3,0,75.0,2,9,-7,0.0,3,2,,3,5,-2,0.0,0,0,0,0,0,0,0,0,,
2018-09-02,Burnley,Man United,0,2,A,78,83,3,1,36.0,3,7,-4,0.0,3,3,81.0,4,7,-3,0.3333333333333333,0,0,0,0,0,0,0,0,,
2018-09-02,Cardiff,Arsenal,2,3,A,73,82,3,2,44.0,0,2,-2,0.0,3,3,63.0,5,6,-1,0.3333333333333333,0,0,0,0,0,0,0,0,,
2018-09-02,Watford,Tottenham,2,1,H,77,83,3,9,41.0,7,2,5,1.0,3,9,44.0,8,2,6,1.0,0,0,0,0,0,0,0,0,,
2018-09-15,Bournemouth,Leicester,4,2,H,76,78,4,7,44.0,6,5,1,0.5,4,6,81.0,6,5,1,0.5,0,0,0,0,0,0,0,0,,
2018-09-15,Chelsea,Cardiff,4,1,H,83,73,4,12,37.0,10,3,7,1.0,4,2,44.0,2,5,-3,0.0,1,0,0,0,0,0,0,0,,
2018-09-15,Huddersfield,Crystal Palace,0,1,A,75,77,4,2,37.0,2,10,-8,0.0,4,3,,3,6,-3,0.25,0,0,0,0,0,0,1,0,,
2018-09-15,Man City,Fulham,3,0,H,85,76,4,10,63.0,11,3,8,0.75,4,4,,7,9,-2,0.25,0,0,0,0,0,0,0,0,,
2018-09-15,Newcastle,Arsenal,1,2,A,76,82,4,1,44.0,3,6,-3,0.0,4,6,63.0,8,8,0,0.5,0,0,0,0,0,0,0,0,,
2018-09-15,Tottenham,Liverpool,1,2,A,83,83,4,9,44.0,9,4,5,0.75,4,12,75.0,9,1,8,1.0,0,0,0,0,1,0,0,0,,
2018-09-15,Watford,Man United,1,2,A,77,83,4,12,41.0,9,3,6,1.0,4,6,81.0,6,7,-1,0.5,1,0,0,0,0,0,0,0,,
2018-09-16,Everton,West Ham,1,3,A,79,78,4,6,,7,6,1,0.25,4,0,75.0,2,10,-8,0.0,0,0,0,0,0,0,1,0,,
2018-09-16,Wolves,Burnley,1,0,H,76,78,4,5,,4,5,-1,0.25,4,1,36.0,3,9,-6,0.0,0,0,0,0,0,0,1,0,,
2018-09-17,Southampton,Brighton,2,2,D,77,76,4,4,36.0,4,4,0,0.25,4,4,41.0,5,7,-2,0.25,0,0,0,0,0,0,0,0,,
2018-09-22,Brighton,Tottenham,1,2,A,76,83,5,5,41.0,7,9,-2,0.2,5,9,44.0,10,6,4,0.6,0,0,0,0,0,0,0,0,0.2,0.6
2018-09-22,Burnley,Bournemouth,4,0,H,78,76,5,1,36.0,3,10,-7,0.0,5,10,44.0,10,7,3,0.6,0,0,1,0,0,0,0,0,0.0,0.6
2018-09-22,Cardiff,Man City,0,5,A,73,85,5,2,44.0,3,9,-6,0.0,5,13,63.0,14,3,11,0.8,0,0,0,0,0,0,0,0,0.0,0.8
2018-09-22,Crystal Palace,Newcastle,0,0,D,77,76,5,6,,4,6,-2,0.4,5,1,44.0,4,8,-4,0.0,0,0,0,0,0,0,1,0,0.4,0.0
2018-09-22,Fulham,Watford,1,1,D,76,77,5,4,,7,12,-5,0.2,5,12,41.0,10,5,5,0.8,0,0,0,0,0,0,0,0,0.2,0.8
2018-09-22,Leicester,Huddersfield,3,1,H,78,75,5,6,81.0,8,9,-1,0.4,5,2,37.0,2,11,-9,0.0,0,0,0,0,0,0,0,0,0.4,0.0
2018-09-22,Liverpool,Southampton,3,0,H,83,77,5,15,75.0,11,2,9,1.0,5,5,36.0,6,6,0,0.2,1,1,0,0,0,0,0,0,1.0,0.2
2018-09-22,Man United,Wolves,1,1,D,83,76,5,9,81.0,8,8,0,0.6,5,8,,5,5,0,0.4,0,0,0,0,0,0,0,0,0.6,0.4
2018-09-23,Arsenal,Everton,2,0,H,82,79,5,9,63.0,10,9,1,0.6,5,6,,8,9,-1,0.2,1,0,0,0,0,0,0,0,0.6,0.2
2018-09-23,West Ham,Chelsea,0,0,D,78,83,5,3,75.0,5,11,-6,0.2,5,15,37.0,14,4,10,1.0,0,0,0,0,1,1,0,0,0.2,1.0
