Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate
2011-08-13,Blackburn,Wolves,1,2,A,74,75,0,0,43.0,0,0,0,,0,0,43.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-13,Fulham,Aston Villa,0,0,D,77,76,0,0,49.0,0,0,0,,0,0,49.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-13,Liverpool,Sunderland,1,1,D,81,76,0,0,58.0,0,0,0,,0,0,58.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-13,Newcastle,Arsenal,0,0,D,77,81,0,0,46.0,0,0,0,,0,0,46.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-13,QPR,Bolton,0,4,A,76,74,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-13,Wigan,Norwich,1,1,D,72,72,0,0,42.0,0,0,0,,0,0,42.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-14,Stoke,Chelsea,0,0,D,76,83,0,0,46.0,0,0,0,,0,0,46.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-14,West Brom,Man United,1,2,A,74,83,0,0,47.0,0,0,0,,0,0,47.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-15,Man City,Swansea,4,0,H,83,73,0,0,71.0,0,0,0,,0,0,71.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-20,Arsenal,Liverpool,0,2,A,81,81,1,1,46.0,0,0,0,0.0,1,1,58.0,1,1,0,0.0,0,0,0,0,0,0,0,0,,
