MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA
270,26/02/11,Newcastle,Bolton,1,1,D,74,75
271,26/02/11,Wigan,Man United,0,4,A,73,82
272,26/02/11,Wolves,Blackpool,4,0,H,73,69
273,27/02/11,Man City,Fulham,1,1,D,82,77
274,27/02/11,West Ham,Liverpool,3,1,H,75,80
275,28/02/11,Stoke,West Brom,1,1,D,74,73
276,01/03/11,Chelsea,Man United,2,1,H,83,82
277,05/03/11,Arsenal,Sunderland,0,0,D,81,75
278,05/03/11,Birmingham,West Brom,1,3,A,76,73
279,05/03/11,Bolton,Aston Villa,3,2,H,75,78
280,05/03/11,Fulham,Blackburn,3,2,H,77,75
281,05/03/11,Man City,Wigan,1,0,H,82,73
282,05/03/11,Newcastle,Everton,1,2,A,74,78
283,05/03/11,West Ham,Stoke,3,0,H,75,74
284,06/03/11,Liverpool,Man United,3,1,H,80,82
285,06/03/11,Wolves,Tottenham,3,3,D,73,80
286,07/03/11,Blackpool,Chelsea,1,3,A,69,83
287,09/03/11,Everton,Birmingham,1,1,D,78,76
288,19/03/11,Aston Villa,Wolves,0,1,A,78,73
289,19/03/11,Blackburn,Blackpool,2,2,D,75,69
290,19/03/11,Everton,Fulham,2,1,H,78,77
291,19/03/11,Man United,Bolton,1,0,H,82,75
292,19/03/11,Stoke,Newcastle,4,0,H,74,74
293,19/03/11,Tottenham,West Ham,0,0,D,80,75
294,19/03/11,West Brom,Arsenal,2,2,D,73,81
295,19/03/11,Wigan,Birmingham,2,1,H,73,76
296,20/03/11,Chelsea,Man City,2,0,H,83,82
297,20/03/11,Sunderland,Liverpool,0,2,A,75,80
298,02/04/11,Arsenal,Blackburn,0,0,D,81,75
299,02/04/11,Birmingham,Bolton,2,1,H,76,75
300,02/04/11,Everton,Aston Villa,2,2,D,78,78
301,02/04/11,Newcastle,Wolves,4,1,H,74,73
302,02/04/11,Stoke,Chelsea,1,1,D,74,83
303,02/04/11,West Brom,Liverpool,2,1,H,73,80
304,02/04/11,West Ham,Man United,2,4,A,75,82
305,02/04/11,Wigan,Tottenham,0,0,D,73,80
306,03/04/11,Fulham,Blackpool,3,0,H,77,69
307,03/04/11,Man City,Sunderland,5,0,H,82,75
308,09/04/11,Blackburn,Birmingham,1,1,D,75,76
309,09/04/11,Bolton,West Ham,3,0,H,75,75
310,09/04/11,Chelsea,Wigan,1,0,H,83,73
