MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
66,23/09/95,West Ham,Everton,2,1,H,6,8,10,-5,7,6,0,8,2,5
67,23/09/95,Wimbledon,Leeds,2,4,A,6,7,9,1,10,6,1,8,10,10
68,24/09/95,Newcastle,Chelsea,2,0,H,6,5,3,9,9,6,3,8,15,12
69,25/09/95,QPR,Tottenham,2,3,A,6,8,9,-5,8,6,0,8,6,4
70,30/09/95,Bolton,QPR,0,1,A,7,12,17,-9,6,7,-6,6,4,8
71,30/09/95,Chelsea,Arsenal,1,0,H,7,4,7,1,15,7,6,10,9,8
72,30/09/95,Coventry,Aston Villa,0,3,A,7,5,14,-7,14,7,4,9,6,7
73,30/09/95,Leeds,Sheffield Weds,2,0,H,7,9,9,3,8,7,-1,8,13,12
74,30/09/95,Middlesbrough,Blackburn,2,0,H,7,11,4,3,7,7,-1,10,12,7
75,30/09/95,Nott'm Forest,Man City,3,0,H,7,11,9,2,1,7,-8,3,11,11
76,30/09/95,Tottenham,Wimbledon,3,1,H,7,13,10,1,10,7,-1,12,11,11
77,01/10/95,Everton,Newcastle,1,3,A,7,3,10,-1,18,7,11,14,7,9
78,01/10/95,Man United,Liverpool,2,2,D,7,5,8,6,15,7,8,13,16,14
79,02/10/95,Southampton,West Ham,0,0,D,7,11,14,-7,5,7,-4,7,5,7
80,14/10/95,Aston Villa,Chelsea,0,1,A,8,7,5,7,12,8,2,9,17,12
81,14/10/95,Blackburn,Southampton,2,1,H,8,14,13,-3,6,8,-7,7,7,10
82,14/10/95,Bolton,Everton,1,1,D,8,13,18,-10,7,8,-3,10,4,8
83,14/10/95,Leeds,Arsenal,0,3,A,8,5,9,5,15,8,5,10,16,14
84,14/10/95,Liverpool,Coventry,0,0,D,8,17,7,8,6,8,-10,7,16,15
85,14/10/95,Man United,Man City,1,0,H,8,14,10,6,1,8,-11,3,17,16
86,14/10/95,QPR,Newcastle,2,3,A,8,4,12,-5,21,8,13,17,9,7
87,14/10/95,Tottenham,Nott'm Forest,0,1,A,8,9,11,3,14,8,5,14,14,14
88,15/10/95,Sheffield Weds,Middlesbrough,0,1,A,8,4,11,-3,15,8,5,9,8,8
89,16/10/95,Wimbledon,West Ham,0,1,A,8,11,16,-3,6,8,-4,7,10,13
90,21/10/95,Arsenal,Aston Villa,2,0,H,9,6,5,8,17,9,6,12,18,13
91,21/10/95,Chelsea,Man United,1,4,A,9,10,7,3,20,9,7,17,15,10
92,21/10/95,Coventry,Sheffield Weds,0,1,A,9,12,17,-10,8,9,-4,8,7,7
93,21/10/95,Man City,Leeds,0,0,D,9,12,15,-12,16,9,2,14,1,3
94,21/10/95,Middlesbrough,QPR,1,0,H,9,15,4,6,9,9,-6,9,18,10
95,21/10/95,Newcastle,Wimbledon,6,1,H,9,17,6,14,10,9,-4,13,24,20
96,21/10/95,Nott'm Forest,Bolton,3,2,H,9,19,9,6,5,9,-10,9,17,15
97,21/10/95,West Ham,Blackburn,1,1,D,9,14,11,-3,10,9,-2,12,9,8
98,22/10/95,Everton,Tottenham,1,1,D,9,12,14,-3,14,9,2,14,8,11
99,22/10/95,Southampton,Liverpool,1,3,A,9,7,16,-8,17,9,8,15,6,8
100,28/10/95,Aston Villa,Everton,1,0,H,10,15,8,4,9,10,-3,12,17,12
101,28/10/95,Blackburn,Chelsea,3,0,H,10,11,15,-2,15,10,0,11,11,13
102,28/10/95,Leeds,Coventry,3,1,H,10,18,12,2,7,10,-11,7,17,14
103,28/10/95,Liverpool,Man City,6,0,H,10,15,8,10,2,10,-12,3,20,18
104,28/10/95,Man United,Middlesbrough,2,0,H,10,4,11,10,21,10,7,11,23,21
105,28/10/95,QPR,Nott'm Forest,1,1,D,10,11,16,-7,20,10,7,18,9,9
106,28/10/95,Sheffield Weds,West Ham,0,1,A,10,12,12,-3,10,10,-3,9,11,9
