MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_differnece,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_differnece,HT_last_5,HT_last_4,HT_last_3,HT_last_2,HT_last_1,AT_last_5,AT_last_4,AT_last_3,AT_last_2,AT_last_1,HT_last_matches,AT_last_matches,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak
0,1994-08-20,Arsenal,Man City,3,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1,1994-08-20,Chelsea,Norwich,2,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2,1994-08-20,Coventry,Wimbledon,1,1,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
3,1994-08-20,Crystal Palace,Liverpool,1,6,A,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
4,1994-08-20,Everton,Aston Villa,2,2,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
5,1994-08-20,Ipswich,Nott'm Forest,0,1,A,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
6,1994-08-20,Man United,QPR,2,0,H,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
7,1994-08-20,Sheffield Weds,Tottenham,3,4,A,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
8,1994-08-20,Southampton,Blackburn,1,1,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
9,1994-08-20,West Ham,Leeds,0,0,D,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
10,1994-08-21,Leicester,Newcastle,1,3,A,0,0,-1,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0
11,1994-08-22,Nott'm Forest,Man United,1,1,D,1,3,-1,1,0,1,1,3,-1,2,0,2,,,,,W,,,,,W,W,W,0,0,0,0,0,0,0,0
12,1994-08-23,Blackburn,Leicester,3,0,H,1,1,-1,1,1,0,1,0,-1,1,3,-2,,,,,D,,,,,L,D,L,0,0,0,0,0,0,0,0
13,1994-08-23,Leeds,Arsenal,1,0,H,1,1,-1,0,0,0,1,3,-1,3,0,3,,,,,D,,,,,W,D,W,0,0,0,0,0,0,0,0
