MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
125,26/11/05,Arsenal,Blackburn,3,0,H
126,26/11/05,Aston Villa,Charlton,1,0,H
127,26/11/05,Man City,Liverpool,0,1,A
128,26/11/05,Portsmouth,Chelsea,0,2,A
129,26/11/05,Sunderland,Birmingham,0,1,A
130,26/11/05,Wigan,Tottenham,1,2,A
131,27/11/05,Everton,Newcastle,1,0,H
132,27/11/05,Fulham,Bolton,2,1,H
133,27/11/05,Middlesbrough,West Brom,2,2,D
134,27/11/05,West Ham,Man United,1,2,A
135,30/11/05,Sunderland,Liverpool,0,2,A
136,03/12/05,Blackburn,Everton,0,2,A
137,03/12/05,Bolton,Arsenal,2,0,H
138,03/12/05,Chelsea,Middlesbrough,1,0,H
139,03/12/05,Liverpool,Wigan,3,0,H
140,03/12/05,Man United,Portsmouth,3,0,H
141,03/12/05,Newcastle,Aston Villa,1,1,D
142,03/12/05,Tottenham,Sunderland,3,2,H
143,03/12/05,West Brom,Fulham,0,0,D
144,04/12/05,Charlton,Man City,2,5,A
145,05/12/05,Birmingham,West Ham,1,2,A
146,10/12/05,Birmingham,Fulham,1,0,H
147,10/12/05,Blackburn,West Ham,3,2,H
148,10/12/05,Bolton,Aston Villa,1,1,D
149,10/12/05,Charlton,Sunderland,2,0,H
150,10/12/05,Chelsea,Wigan,1,0,H
151,10/12/05,Liverpool,Middlesbrough,2,0,H
152,10/12/05,Newcastle,Arsenal,1,0,H
153,10/12/05,West Brom,Man City,2,0,H
154,11/12/05,Man United,Everton,1,1,D
155,12/12/05,Tottenham,Portsmouth,3,1,H
156,14/12/05,Everton,West Ham,1,2,A
157,14/12/05,Man United,Wigan,4,0,H
158,17/12/05,Aston Villa,Man United,0,2,A
159,17/12/05,Everton,Bolton,0,4,A
160,17/12/05,Fulham,Blackburn,2,1,H
161,17/12/05,Man City,Birmingham,4,1,H
162,17/12/05,Portsmouth,West Brom,1,0,H
163,17/12/05,West Ham,Newcastle,2,4,A
164,17/12/05,Wigan,Charlton,3,0,H
165,18/12/05,Arsenal,Chelsea,0,2,A
166,18/12/05,Middlesbrough,Tottenham,3,3,D
167,26/12/05,Aston Villa,Everton,4,0,H
168,26/12/05,Charlton,Arsenal,0,1,A
169,26/12/05,Chelsea,Fulham,3,2,H
170,26/12/05,Liverpool,Newcastle,2,0,H
171,26/12/05,Man United,West Brom,3,0,H
172,26/12/05,Middlesbrough,Blackburn,0,2,A
173,26/12/05,Portsmouth,West Ham,1,1,D
174,26/12/05,Sunderland,Bolton,0,0,D
175,26/12/05,Tottenham,Birmingham,2,0,H
176,26/12/05,Wigan,Man City,4,3,H
177,28/12/05,Arsenal,Portsmouth,4,0,H
178,28/12/05,Birmingham,Man United,2,2,D
179,28/12/05,Everton,Liverpool,1,3,A
180,28/12/05,Fulham,Aston Villa,3,3,D
181,28/12/05,Man City,Chelsea,0,1,A
182,28/12/05,West Brom,Tottenham,2,0,H
183,28/12/05,West Ham,Wigan,0,2,A
184,31/12/05,Aston Villa,Arsenal,0,0,D
185,31/12/05,Charlton,West Ham,2,0,H
186,31/12/05,Chelsea,Birmingham,2,0,H
187,31/12/05,Liverpool,West Brom,1,0,H
188,31/12/05,Man United,Bolton,4,1,H
189,31/12/05,Middlesbrough,Man City,0,0,D
190,31/12/05,Portsmouth,Fulham,1,0,H
191,31/12/05,Sunderland,Everton,0,1,A
192,31/12/05,Tottenham,Newcastle,2,0,H
193,31/12/05,Wigan,Blackburn,0,3,A
194,02/01/06,Birmingham,Wigan,2,0,H
195,02/01/06,Blackburn,Portsmouth,2,1,H
196,02/01/06,Bolton,Liverpool,2,2,D
197,02/01/06,Everton,Charlton,3,1,H
198,02/01/06,Fulham,Sunderland,2,1,H
199,02/01/06,Newcastle,Middlesbrough,2,2,D
200,02/01/06,West Brom,Aston Villa,1,2,A
201,02/01/06,West Ham,Chelsea,1,3,A
202,03/01/06,Arsenal,Man United,0,0,D
203,04/01/06,Man City,Tottenham,0,2,A
204,14/01/06,Arsenal,Middlesbrough,7,0,H
205,14/01/06,Aston Villa,West Ham,1,2,A
206,14/01/06,Blackburn,Bolton,0,0,D
207,14/01/06,Charlton,Birmingham,2,0,H
208,14/01/06,Fulham,Newcastle,1,0,H
209,14/01/06,Liverpool,Tottenham,1,0,H
210,14/01/06,Man City,Man United,3,1,H
211,14/01/06,Portsmouth,Everton,0,1,A
212,15/01/06,Sunderland,Chelsea,1,2,A
213,15/01/06,Wigan,West Brom,0,1,A
214,21/01/06,Birmingham,Portsmouth,5,0,H
215,21/01/06,Bolton,Man City,2,0,H
216,21/01/06,Everton,Arsenal,1,0,H
217,21/01/06,Middlesbrough,Wigan,2,3,A
218,21/01/06,Newcastle,Blackburn,0,1,A
219,21/01/06,Tottenham,Aston Villa,0,0,D
220,21/01/06,West Brom,Sunderland,0,1,A
221,22/01/06,Chelsea,Charlton,1,1,D
222,22/01/06,Man United,Liverpool,1,0,H
223,23/01/06,West Ham,Fulham,2,1,H
224,31/01/06,Charlton,West Brom,0,0,D
225,31/01/06,Fulham,Tottenham,1,0,H
226,31/01/06,Sunderland,Middlesbrough,0,3,A
227,31/01/06,Wigan,Everton,1,1,D
228,01/02/06,Arsenal,West Ham,2,3,A
229,01/02/06,Aston Villa,Chelsea,1,1,D
230,01/02/06,Blackburn,Man United,4,3,H
231,01/02/06,Liverpool,Birmingham,1,1,D
232,01/02/06,Man City,Newcastle,3,0,H
233,01/02/06,Portsmouth,Bolton,1,1,D
234,04/02/06,Birmingham,Arsenal,0,2,A
235,04/02/06,Bolton,Wigan,1,1,D
236,04/02/06,Everton,Man City,1,0,H
237,04/02/06,Man United,Fulham,4,2,H
238,04/02/06,Middlesbrough,Aston Villa,0,4,A
239,04/02/06,Newcastle,Portsmouth,2,0,H
240,04/02/06,West Brom,Blackburn,2,0,H
241,04/02/06,West Ham,Sunderland,2,0,H
242,05/02/06,Chelsea,Liverpool,2,0,H
243,05/02/06,Tottenham,Charlton,3,1,H
244,08/02/06,Charlton,Liverpool,2,0,H
245,11/02/06,Arsenal,Bolton,1,1,D
246,11/02/06,Aston Villa,Newcastle,1,2,A
247,11/02/06,Everton,Blackburn,1,0,H
248,11/02/06,Fulham,West Brom,6,1,H
249,11/02/06,Middlesbrough,Chelsea,3,0,H
250,11/02/06,Portsmouth,Man United,1,3,A
251,11/02/06,Wigan,Liverpool,0,1,A
252,12/02/06,Man City,Charlton,3,2,H
253,12/02/06,Sunderland,Tottenham,1,1,D
254,13/02/06,West Ham,Birmingham,3,0,H
255,14/02/06,Liverpool,Arsenal,1,0,H
256,15/02/06,Blackburn,Sunderland,2,0,H
257,19/02/06,Tottenham,Wigan,2,2,D
258,22/02/06,Newcastle,Charlton,0,0,D
259,25/02/06,Birmingham,Sunderland,1,0,H
260,25/02/06,Blackburn,Arsenal,1,0,H
261,25/02/06,Charlton,Aston Villa,0,0,D
262,25/02/06,Chelsea,Portsmouth,2,0,H
263,25/02/06,Newcastle,Everton,2,0,H
264,26/02/06,Bolton,Fulham,2,1,H
265,26/02/06,Liverpool,Man City,1,0,H
266,26/02/06,West Brom,Middlesbrough,0,2,A
267,04/03/06,Aston Villa,Portsmouth,1,0,H
268,04/03/06,Fulham,Arsenal,0,4,A
269,04/03/06,Liverpool,Charlton,0,0,D
270,04/03/06,Middlesbrough,Birmingham,1,0,H
271,04/03/06,Newcastle,Bolton,3,1,H
272,04/03/06,West Brom,Chelsea,1,2,A
273,04/03/06,West Ham,Everton,2,2,D
274,05/03/06,Man City,Sunderland,2,1,H
275,05/03/06,Tottenham,Blackburn,3,2,H
276,06/03/06,Wigan,Man United,1,2,A
277,11/03/06,Birmingham,West Brom,1,1,D
278,11/03/06,Blackburn,Aston Villa,2,0,H
279,11/03/06,Bolton,West Ham,4,1,H
280,11/03/06,Chelsea,Tottenham,2,1,H
281,11/03/06,Everton,Fulham,3,1,H
282,11/03/06,Portsmouth,Man City,2,1,H
283,11/03/06,Sunderland,Wigan,0,1,A
284,12/03/06,Arsenal,Liverpool,2,1,H
285,12/03/06,Charlton,Middlesbrough,2,1,H
286,12/03/06,Man United,Newcastle,2,0,H
287,15/03/06,Liverpool,Fulham,5,1,H
288,18/03/06,Arsenal,Charlton,3,0,H
289,18/03/06,Birmingham,Tottenham,0,2,A
290,18/03/06,Blackburn,Middlesbrough,3,2,H
291,18/03/06,Bolton,Sunderland,2,0,H
292,18/03/06,Everton,Aston Villa,4,1,H
293,18/03/06,Man City,Wigan,0,1,A
294,18/03/06,West Brom,Man United,1,2,A
295,18/03/06,West Ham,Portsmouth,2,4,A
296,19/03/06,Fulham,Chelsea,1,0,H
297,19/03/06,Newcastle,Liverpool,1,3,A
298,25/03/06,Aston Villa,Fulham,0,0,D
299,25/03/06,Chelsea,Man City,2,0,H
300,25/03/06,Liverpool,Everton,3,1,H
301,25/03/06,Sunderland,Blackburn,0,1,A
302,25/03/06,Wigan,West Ham,1,2,A
303,26/03/06,Charlton,Newcastle,3,1,H
304,26/03/06,Man United,Birmingham,3,0,H
305,26/03/06,Middlesbrough,Bolton,4,3,H
306,27/03/06,Tottenham,West Brom,2,1,H
307,29/03/06,Man United,West Ham,1,0,H
308,01/04/06,Arsenal,Aston Villa,5,0,H
309,01/04/06,Birmingham,Chelsea,0,0,D
310,01/04/06,Bolton,Man United,1,2,A
311,01/04/06,Everton,Sunderland,2,2,D
312,01/04/06,Fulham,Portsmouth,1,3,A
313,01/04/06,Newcastle,Tottenham,3,1,H
314,01/04/06,West Brom,Liverpool,0,2,A
315,02/04/06,Man City,Middlesbrough,0,1,A
316,02/04/06,West Ham,Charlton,0,0,D
317,03/04/06,Blackburn,Wigan,1,1,D
318,04/04/06,Birmingham,Bolton,1,0,H
319,08/04/06,Charlton,Everton,0,0,D
320,08/04/06,Portsmouth,Blackburn,2,2,D
321,08/04/06,Tottenham,Man City,2,1,H
322,08/04/06,Wigan,Birmingham,1,1,D
323,09/04/06,Aston Villa,West Brom,0,0,D
324,09/04/06,Chelsea,West Ham,4,1,H
325,09/04/06,Liverpool,Bolton,1,0,H
326,09/04/06,Man United,Arsenal,2,0,H
327,09/04/06,Middlesbrough,Newcastle,1,2,A
328,12/04/06,Portsmouth,Arsenal,1,1,D
329,14/04/06,Man United,Sunderland,0,0,D
330,15/04/06,Arsenal,West Brom,3,1,H
331,15/04/06,Bolton,Chelsea,0,2,A
332,15/04/06,Everton,Tottenham,0,1,A
333,15/04/06,Fulham,Charlton,2,1,H
334,15/04/06,Newcastle,Wigan,3,1,H
335,15/04/06,Portsmouth,Middlesbrough,1,0,H
336,15/04/06,West Ham,Man City,1,0,H
337,16/04/06,Aston Villa,Birmingham,3,1,H
338,16/04/06,Blackburn,Liverpool,0,1,A
339,17/04/06,Charlton,Portsmouth,2,1,H
340,17/04/06,Chelsea,Everton,3,0,H
341,17/04/06,Middlesbrough,West Ham,2,0,H
342,17/04/06,Sunderland,Newcastle,1,4,A
343,17/04/06,Tottenham,Man United,1,2,A
344,17/04/06,West Brom,Bolton,0,0,D
345,18/04/06,Wigan,Aston Villa,3,2,H
346,19/04/06,Birmingham,Blackburn,2,1,H
347,22/04/06,Arsenal,Tottenham,1,1,D
348,22/04/06,Bolton,Charlton,4,1,H
349,22/04/06,Everton,Birmingham,0,0,D
350,22/04/06,Newcastle,West Brom,3,0,H
