Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2005-08-13,Aston Villa,Bolton,2,2,D,0,0,47,-7,0.3157894736842105,0,0,0,,0,0,58,5,0.42105263157894735,0,0,0,,0,0,0,0,0,0,0,0,,,0,-11,-12,-0.10526315789473684,,0
2005-08-13,Everton,Man United,0,2,A,0,0,61,-1,0.4736842105263158,0,0,0,,0,0,77,32,0.5789473684210527,0,0,0,,0,0,0,0,0,0,0,0,,,0,-16,-33,-0.10526315789473684,,0
2005-08-13,Fulham,Birmingham,0,0,D,0,0,44,-8,0.3157894736842105,0,0,0,,0,0,45,-6,0.2894736842105263,0,0,0,,0,0,0,0,0,0,0,0,,,0,-1,-2,0.02631578947368418,,0
2005-08-13,Man City,West Brom,0,0,D,0,0,52,8,0.34210526315789475,0,0,0,,0,0,34,-25,0.15789473684210525,0,0,0,,0,0,0,0,0,0,0,0,,,0,18,33,0.1842105263157895,,0
2005-08-13,Middlesbrough,Liverpool,0,0,D,0,0,55,7,0.3684210526315789,0,0,0,,0,0,58,11,0.4473684210526316,0,0,0,,0,0,0,0,0,0,0,0,,,0,-3,-4,-0.07894736842105265,,0
2005-08-13,Portsmouth,Tottenham,0,2,A,0,0,39,-16,0.2631578947368421,0,0,0,,0,0,52,6,0.3684210526315789,0,0,0,,0,0,0,0,0,0,0,0,,,0,-13,-22,-0.10526315789473684,,0
2005-08-13,Sunderland,Charlton,1,3,A,0,0,-1,-1,0.0,0,0,0,,0,0,46,-16,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,-47,15,-0.3157894736842105,,0
2005-08-13,West Ham,Blackburn,3,1,H,0,0,-1,-1,0.0,0,0,0,,0,0,42,-11,0.2368421052631579,0,0,0,,0,0,0,0,0,0,0,0,,,0,-43,10,-0.2368421052631579,,0
2005-08-14,Arsenal,Newcastle,2,0,H,0,0,83,51,0.6578947368421053,0,0,0,,0,0,44,-10,0.2631578947368421,0,0,0,,0,0,0,0,0,0,0,0,,,0,39,61,0.3947368421052632,,0
2005-08-14,Wigan,Chelsea,0,1,A,0,0,-1,-1,0.0,0,0,0,,0,0,95,57,0.7631578947368421,0,0,0,,0,0,0,0,0,0,0,0,,,0,-96,-58,-0.7631578947368421,,0
2005-08-20,Birmingham,Man City,1,2,A,1,1,45,-6,0.2894736842105263,0,0,0,0.0,1,1,52,8,0.34210526315789475,0,0,0,0.0,0,0,0,0,0,0,0,0,,,0,-7,-14,-0.05263157894736842,0.0,0
2005-08-20,Blackburn,Fulham,2,1,H,1,0,42,-11,0.2368421052631579,1,3,-2,0.0,1,1,44,-8,0.3157894736842105,0,0,0,0.0,0,0,0,0,0,0,0,0,,,-1,-2,-3,-0.0789473684210526,0.0,-2
2005-08-20,Charlton,Wigan,1,0,H,1,3,46,-16,0.3157894736842105,3,1,2,1.0,1,0,-1,-1,0.0,0,1,-1,0.0,0,0,0,0,0,0,0,0,,,3,47,-15,0.3157894736842105,1.0,3
2005-08-20,Liverpool,Sunderland,1,0,H,1,1,58,11,0.4473684210526316,0,0,0,0.0,1,0,-1,-1,0.0,1,3,-2,0.0,0,0,0,0,0,0,0,0,,,1,59,12,0.4473684210526316,0.0,2
2005-08-20,Man United,Aston Villa,1,0,H,1,3,77,32,0.5789473684210527,2,0,2,1.0,1,1,47,-7,0.3157894736842105,2,2,0,0.0,0,0,0,0,0,0,0,0,,,2,30,39,0.26315789473684215,1.0,2
2005-08-20,Newcastle,West Ham,0,0,D,1,0,44,-10,0.2631578947368421,0,2,-2,0.0,1,3,-1,-1,0.0,3,1,2,1.0,0,0,0,0,0,0,0,0,,,-3,45,-9,0.2631578947368421,-1.0,-4
2005-08-20,Tottenham,Middlesbrough,2,0,H,1,3,52,6,0.3684210526315789,2,0,2,1.0,1,1,55,7,0.3684210526315789,0,0,0,0.0,0,0,0,0,0,0,0,0,,,2,-3,-1,0.0,1.0,2
2005-08-20,West Brom,Portsmouth,2,1,H,1,1,34,-25,0.15789473684210525,0,0,0,0.0,1,0,39,-16,0.2631578947368421,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,1,-5,-9,-0.10526315789473684,0.0,2
2005-08-21,Bolton,Everton,0,1,A,1,1,58,5,0.42105263157894735,2,2,0,0.0,1,0,61,-1,0.4736842105263158,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,1,-3,6,-0.052631578947368474,0.0,2
2005-08-21,Chelsea,Arsenal,1,0,H,1,3,95,57,0.7631578947368421,1,0,1,1.0,1,3,83,51,0.6578947368421053,2,0,2,1.0,0,0,0,0,0,0,0,0,,,0,12,6,0.10526315789473684,0.0,-1
2005-08-23,Birmingham,Middlesbrough,0,3,A,2,1,45,-6,0.2894736842105263,1,2,-1,0.0,2,1,55,7,0.3684210526315789,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,0,-10,-13,-0.0789473684210526,0.0,1
2005-08-23,Portsmouth,Aston Villa,1,1,D,2,0,39,-16,0.2631578947368421,1,4,-3,0.0,2,1,47,-7,0.3157894736842105,2,3,-1,0.0,0,0,0,0,0,0,0,0,,,-1,-8,-9,-0.05263157894736842,0.0,-2
2005-08-23,Sunderland,Man City,1,2,A,2,0,-1,-1,0.0,1,4,-3,0.0,2,4,52,8,0.34210526315789475,2,1,1,0.5,0,0,0,0,0,0,0,0,,,-4,-53,-9,-0.34210526315789475,-0.5,-4
2005-08-24,Arsenal,Fulham,4,1,H,2,3,83,51,0.6578947368421053,2,1,1,0.5,2,1,44,-8,0.3157894736842105,1,2,-1,0.0,0,0,0,0,0,0,0,0,,,2,39,59,0.3421052631578948,0.5,2
2005-08-24,Blackburn,Tottenham,0,0,D,2,3,42,-11,0.2368421052631579,3,4,-1,0.5,2,6,52,6,0.3684210526315789,4,0,4,1.0,0,0,0,0,0,0,0,0,,,-3,-10,-17,-0.13157894736842102,-0.5,-5
2005-08-24,Bolton,Newcastle,2,0,H,2,1,58,5,0.42105263157894735,2,3,-1,0.0,2,1,44,-10,0.2631578947368421,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,0,14,15,0.15789473684210525,0.0,1
2005-08-24,Chelsea,West Brom,4,0,H,2,6,95,57,0.7631578947368421,2,0,2,1.0,2,4,34,-25,0.15789473684210525,2,1,1,0.5,0,0,0,0,0,0,0,0,,,2,61,82,0.605263157894737,0.5,1
2005-08-27,Aston Villa,Blackburn,1,0,H,3,2,47,-7,0.3157894736842105,3,4,-1,0.0,3,4,42,-11,0.2368421052631579,3,4,-1,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,5,4,0.0789473684210526,-0.3333333333333333,0
2005-08-27,Fulham,Everton,1,0,H,3,1,44,-8,0.3157894736842105,2,6,-4,0.0,2,3,61,-1,0.4736842105263158,1,2,-1,0.5,0,0,0,0,0,0,0,0,,,-2,-17,-7,-0.1578947368421053,-0.5,-3
2005-08-27,Man City,Portsmouth,2,1,H,3,7,52,8,0.34210526315789475,4,2,2,0.6666666666666666,3,1,39,-16,0.2631578947368421,2,5,-3,0.0,0,0,0,0,0,0,0,0,,,6,13,24,0.07894736842105265,0.6666666666666666,5
2005-08-27,Tottenham,Chelsea,0,2,A,3,7,52,6,0.3684210526315789,4,0,4,0.6666666666666666,3,9,95,57,0.7631578947368421,6,0,6,1.0,0,0,0,0,0,0,0,0,,,-2,-43,-51,-0.3947368421052632,-0.33333333333333337,-2
2005-08-27,West Brom,Birmingham,2,3,A,3,4,34,-25,0.15789473684210525,2,5,-3,0.3333333333333333,3,1,45,-6,0.2894736842105263,1,5,-4,0.0,0,0,0,0,0,0,0,0,,,3,-11,-19,-0.13157894736842107,0.3333333333333333,1
2005-08-27,West Ham,Bolton,1,2,A,2,4,-1,-1,0.0,3,1,2,0.5,3,4,58,5,0.42105263157894735,4,3,1,0.3333333333333333,0,0,0,0,0,0,0,0,,,0,-59,-6,-0.42105263157894735,0.16666666666666669,1
