Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2020-09-12,Fulham,Arsenal,0,3,A,75,80,-5,0,0,-1,-1,0.0,0,0,0,,0,0,56,8,0.3684210526315789,0,0,0,,0,0,0,0,0,0,0,0,,,0,-57,-9,-0.3684210526315789,,0
2020-09-12,Crystal Palace,Southampton,1,0,H,76,76,0,0,0,43,-19,0.2894736842105263,0,0,0,,0,0,52,-9,0.3947368421052632,0,0,0,,0,0,0,0,0,0,0,0,,,0,-9,-10,-0.10526315789473689,,0
2020-09-12,Liverpool,Leeds,4,3,H,85,76,9,0,0,99,52,0.8421052631578947,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,100,53,0.8421052631578947,,0
2020-09-12,West Ham,Newcastle,0,2,A,78,76,2,0,0,39,-13,0.2631578947368421,0,0,0,,0,0,44,-20,0.2894736842105263,0,0,0,,0,0,0,0,0,0,0,0,,,0,-5,7,-0.026315789473684237,,0
2020-09-13,West Brom,Leicester,0,3,A,73,80,-7,0,0,-1,-1,0.0,0,0,0,,0,0,62,26,0.4736842105263158,0,0,0,,0,0,0,0,0,0,0,0,,,0,-63,-27,-0.4736842105263158,,0
2020-09-13,Tottenham,Everton,0,1,A,82,79,3,0,0,59,14,0.42105263157894735,0,0,0,,0,0,49,-12,0.34210526315789475,0,0,0,,0,0,0,0,0,0,0,0,,,0,10,26,0.0789473684210526,,0
2020-09-14,Brighton,Chelsea,1,3,A,75,82,-7,0,0,41,-15,0.2368421052631579,0,0,0,,0,0,66,15,0.5263157894736842,0,0,0,,0,0,0,0,0,0,0,0,,,0,-25,-30,-0.28947368421052627,,0
2020-09-14,Sheffield United,Wolves,0,2,A,73,79,-6,0,0,54,0,0.3684210526315789,0,0,0,,0,0,59,11,0.3947368421052632,0,0,0,,0,0,0,0,0,0,0,0,,,0,-5,-11,-0.026315789473684292,,0
2020-09-19,Everton,West Brom,5,2,H,79,73,6,1,3,49,-12,0.34210526315789475,1,0,1,1.0,1,0,-1,-1,0.0,0,3,-3,0.0,0,0,0,0,0,0,0,0,,,3,50,-11,0.34210526315789475,1.0,4
2020-09-19,Leeds,Fulham,4,3,H,76,75,1,1,0,-1,-1,0.0,3,4,-1,0.0,1,0,-1,-1,0.0,0,3,-3,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0.0,0.0,2
2020-09-19,Man United,Crystal Palace,1,3,A,82,76,6,0,0,66,30,0.4736842105263158,0,0,0,,1,3,43,-19,0.2894736842105263,1,0,1,1.0,0,0,0,0,0,0,0,0,,,-3,23,49,0.1842105263157895,,-1
2020-09-19,Arsenal,West Ham,2,1,H,80,78,2,1,3,56,8,0.3684210526315789,3,0,3,1.0,1,0,39,-13,0.2631578947368421,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,3,17,21,0.10526315789473684,1.0,5
2020-09-20,Southampton,Tottenham,2,5,A,76,82,-6,1,0,52,-9,0.3947368421052632,0,1,-1,0.0,1,0,59,14,0.42105263157894735,0,1,-1,0.0,0,0,0,0,0,0,0,0,,,0,-7,-23,-0.026315789473684126,0.0,0
2020-09-20,Newcastle,Brighton,0,3,A,76,75,1,1,3,44,-20,0.2894736842105263,2,0,2,1.0,1,0,41,-15,0.2368421052631579,1,3,-2,0.0,0,0,0,0,0,0,0,0,,,3,3,-5,0.05263157894736842,1.0,4
2020-09-20,Chelsea,Liverpool,0,2,A,82,85,-3,1,3,66,15,0.5263157894736842,3,1,2,1.0,1,3,99,52,0.8421052631578947,4,3,1,1.0,0,0,0,0,0,0,0,0,,,0,-33,-37,-0.3157894736842105,0.0,1
2020-09-20,Leicester,Burnley,4,2,H,80,76,4,1,3,62,26,0.4736842105263158,3,0,3,1.0,0,0,54,-7,0.3947368421052632,0,0,0,,0,0,0,0,0,0,0,0,,,3,8,33,0.0789473684210526,,3
2020-09-21,Aston Villa,Sheffield United,1,0,H,77,73,4,0,0,35,-26,0.2368421052631579,0,0,0,,1,0,54,0,0.3684210526315789,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,0,-19,-26,-0.13157894736842102,,2
2020-09-21,Wolves,Man City,1,3,A,79,85,-6,1,3,59,11,0.3947368421052632,2,0,2,1.0,0,0,81,67,0.6842105263157895,0,0,0,,0,0,0,0,0,0,0,0,,,3,-22,-56,-0.28947368421052627,,2
2020-09-26,Brighton,Man United,2,3,A,75,82,-7,2,3,41,-15,0.2368421052631579,4,3,1,0.5,1,0,66,30,0.4736842105263158,1,3,-2,0.0,0,0,0,0,0,0,0,0,,,3,-25,-45,-0.2368421052631579,0.5,3
2020-09-26,Crystal Palace,Everton,1,2,A,76,79,-3,2,6,43,-19,0.2894736842105263,4,1,3,1.0,2,6,49,-12,0.34210526315789475,6,2,4,1.0,0,0,0,0,0,0,0,0,,,0,-6,-7,-0.05263157894736842,0.0,-1
2020-09-26,West Brom,Chelsea,3,3,D,73,82,-9,2,0,-1,-1,0.0,2,8,-6,0.0,2,3,66,15,0.5263157894736842,3,3,0,0.5,0,0,0,0,0,0,0,0,,,-3,-67,-16,-0.5263157894736842,-0.5,-6
2020-09-26,Burnley,Southampton,0,1,A,76,76,0,1,0,54,-7,0.3947368421052632,2,4,-2,0.0,2,0,52,-9,0.3947368421052632,2,6,-4,0.0,0,0,0,0,0,0,0,0,,,0,2,2,0.0,0.0,2
2020-09-27,Sheffield United,Leeds,0,1,A,73,76,-3,2,0,54,0,0.3684210526315789,0,3,-3,0.0,2,3,-1,-1,0.0,7,7,0,0.5,0,0,0,0,0,0,0,0,,,-3,55,1,0.3684210526315789,-0.5,-3
2020-09-27,Tottenham,Newcastle,1,1,D,82,76,6,2,3,59,14,0.42105263157894735,5,3,2,0.5,2,3,44,-20,0.2894736842105263,2,3,-1,0.5,0,0,0,0,0,0,0,0,,,0,15,34,0.13157894736842102,0.0,3
2020-09-27,Man City,Leicester,2,5,A,85,80,5,1,3,81,67,0.6842105263157895,3,1,2,1.0,2,6,62,26,0.4736842105263158,7,2,5,1.0,0,0,0,0,0,0,0,0,,,-3,19,41,0.21052631578947367,0.0,-3
2020-09-27,West Ham,Wolves,4,0,H,78,79,-1,2,0,39,-13,0.2631578947368421,1,4,-3,0.0,2,3,59,11,0.3947368421052632,3,3,0,0.5,0,0,0,0,0,0,0,0,,,-3,-20,-24,-0.13157894736842113,-0.5,-3
2020-09-28,Fulham,Aston Villa,0,3,A,75,77,-2,2,0,-1,-1,0.0,3,7,-4,0.0,1,3,35,-26,0.2368421052631579,1,0,1,1.0,0,0,0,0,0,0,0,0,,,-3,-36,25,-0.2368421052631579,-1.0,-5
2020-09-28,Liverpool,Arsenal,3,1,H,85,80,5,2,6,99,52,0.8421052631578947,6,3,3,1.0,2,6,56,8,0.3684210526315789,5,1,4,1.0,0,0,0,0,0,0,0,0,,,0,43,44,0.47368421052631576,0.0,-1
2020-10-03,Chelsea,Crystal Palace,4,0,H,82,76,6,3,4,66,15,0.5263157894736842,6,6,0,0.3333333333333333,3,6,43,-19,0.2894736842105263,5,3,2,0.6666666666666666,0,0,0,0,0,0,0,0,,,-2,23,34,0.23684210526315785,-0.3333333333333333,-2
2020-10-03,Everton,Brighton,4,2,H,79,75,4,3,9,49,-12,0.34210526315789475,8,3,5,1.0,3,3,41,-15,0.2368421052631579,6,6,0,0.3333333333333333,0,0,0,0,0,0,0,0,,,6,8,3,0.10526315789473684,0.6666666666666667,5
2020-10-03,Leeds,Man City,1,1,D,76,85,-9,3,6,-1,-1,0.0,8,7,1,0.6666666666666666,2,3,81,67,0.6842105263157895,5,6,-1,0.5,0,0,0,0,0,0,0,0,,,3,-82,-68,-0.6842105263157895,0.16666666666666663,2
2020-10-03,Newcastle,Burnley,3,1,H,76,76,0,3,4,44,-20,0.2894736842105263,3,4,-1,0.3333333333333333,2,0,54,-7,0.3947368421052632,2,5,-3,0.0,0,0,0,0,0,0,0,0,,,4,-10,-13,-0.10526315789473689,0.3333333333333333,2
2020-10-04,Leicester,West Ham,0,3,A,80,78,2,3,9,62,26,0.4736842105263158,12,4,8,1.0,3,3,39,-13,0.2631578947368421,5,4,1,0.3333333333333333,0,0,0,0,0,0,0,0,,,6,23,39,0.21052631578947373,0.6666666666666667,7
2020-10-04,Southampton,West Brom,2,0,H,76,73,3,3,3,52,-9,0.3947368421052632,3,6,-3,0.3333333333333333,3,1,-1,-1,0.0,5,11,-6,0.0,0,0,0,0,0,0,0,0,,,2,53,-8,0.3947368421052632,0.3333333333333333,3
