Team,OVA
Chelsea,83
Manchester City,83
Manchester United,83
Arsenal,81
Liverpool,81
Tottenham Hotspur,81
Everton,77
Newcastle United,77
Fulham,77
Aston Villa,76
Stoke City,76
Queens Park Rangers,76
Sunderland,76
Wolverhampton Wanderers,75
Blackburn Rovers,74
Bolton Wanderers,74
West Bromwich Albion,74
Swansea City,73
Norwich City,72
Wigan Athletic,72
