Team,OVA
Chelsea,84
Manchester United,84
Arsenal,81
Liverpool,81
Manchester City,79
Tottenham Hotspur,79
Aston Villa,78
Everton,78
Blackburn Rovers,76
Newcastle United,76
West Ham United,76
Portsmouth,76
Sunderland,75
Bolton Wanderers,74
Middlesbrough,74
Fulham,74
Wigan Athletic,73
West Bromwich Albion,71
Hull City,71
Stoke City,70
