Team,OVA
Liverpool,85
Manchester City,85
Tottenham Hotspur,82
Chelsea,81
Manchester United,81
Arsenal,80
Leicester City,79
Everton,78
West Ham United,78
Wolverhampton Wanderers,78
Watford,77
Crystal Palace,77
Newcastle United,77
Aston Villa,76
Burnley,76
Brighton & Hove Albion,76
Southampton,76
Bournemouth,76
Sheffield United,75
Norwich City,74
