Team,OVA
Chelsea,82
Manchester City,82
Manchester United,82
Arsenal,80
Liverpool,80
Tottenham Hotspur,80
Everton,78
Newcastle United,76
Swansea City,76
Southampton,75
Fulham,75
Norwich City,74
Aston Villa,74
Stoke City,74
West Ham United,74
Sunderland,74
West Bromwich Albion,74
Crystal Palace,72
Hull City,72
Cardiff City,72
