Team,OVA
Manchester City,82
Manchester United,82
Chelsea,81
Arsenal,80
Tottenham Hotspur,80
Liverpool,79
Newcastle United,77
Fulham,77
Everton,76
Aston Villa,75
Stoke City,75
Queens Park Rangers,75
Sunderland,75
West Ham United,74
West Bromwich Albion,74
Wigan Athletic,74
Swansea City,74
Norwich City,73
Southampton,73
Reading,71
