Team,OVA
Chelsea,83
Arsenal,82
Manchester City,82
Manchester United,81
Liverpool,79
Tottenham Hotspur,79
Everton,78
Newcastle United,77
Stoke City,77
Southampton,77
West Ham United,77
Crystal Palace,76
Leicester City,76
Swansea City,76
Aston Villa,75
Watford,75
Sunderland,75
West Bromwich Albion,75
Norwich City,74
Bournemouth,73
