Team,OVA
Chelsea,83
Manchester United,83
Liverpool,81
Arsenal,80
Tottenham Hotspur,78
Newcastle United,77
Blackburn Rovers,76
Everton,76
West Ham United,76
Portsmouth,76
Aston Villa,75
Bolton Wanderers,75
Manchester City,75
Middlesbrough,75
Reading,74
Fulham,74
Birmingham City,72
Wigan Athletic,72
Sunderland,71
Derby County,69
