Team,OVA
Chelsea,83
Manchester City,82
Manchester United,82
Arsenal,81
Liverpool,80
Tottenham Hotspur,80
Aston Villa,78
Everton,78
Fulham,77
Birmingham City,76
Blackburn Rovers,75
Bolton Wanderers,75
West Ham United,75
Sunderland,75
Newcastle United,74
Stoke City,74
West Bromwich Albion,73
Wolverhampton Wanderers,73
Wigan Athletic,73
Blackpool,69
