Team,OVA
Manchester City,85
Chelsea,83
Liverpool,83
Tottenham Hotspur,83
Arsenal,82
Manchester United,82
Everton,79
West Ham United,78
Leicester City,78
Watford,77
Burnley,77
Crystal Palace,77
Wolverhampton Wanderers,77
Bournemouth,77
Newcastle United,76
Brighton & Hove Albion,76
Southampton,76
Fulham,75
Huddersfield Town,74
Cardiff City,73
