Team,Points,Goal_Diff,Win_Rate
Arsenal,78,35,0.6052631578947368
Man United,77,47,0.6052631578947368
Liverpool,65,26,0.47368421052631576
Chelsea,63,28,0.5263157894736842
Leeds,59,11,0.4473684210526316
Blackburn,58,5,0.42105263157894735
Aston Villa,57,1,0.4473684210526316
West Ham,56,-1,0.42105263157894735
Derby,55,3,0.42105263157894735
Leicester,53,10,0.34210526315789475
Coventry,52,2,0.3157894736842105
Southampton,48,-5,0.3684210526315789
Newcastle,44,-9,0.2894736842105263
Sheffield Weds,44,-15,0.3157894736842105
Wimbledon,44,-12,0.2631578947368421
Tottenham,44,-12,0.2894736842105263
Everton,40,-15,0.23684210526315788
Bolton,40,-20,0.23684210526315788
Barnsley,35,-45,0.2631578947368421
Crystal Palace,33,-34,0.21052631578947367
