Team,Points
Man United,80
Chelsea,71
Man City,71
Arsenal,68
Tottenham,62
Liverpool,58
Everton,54
Fulham,49
Aston Villa,48
West Brom,47
Sunderland,47
Bolton,46
Stoke,46
Newcastle,46
Blackburn,43
Wigan,42
Wolves,40
Birmingham,39
Blackpool,39
West Ham,33
