Team,Points,Goal_Diff,Win_Rate
Chelsea,95,57,0.7631578947368421
Arsenal,83,51,0.6578947368421053
Man United,77,32,0.5789473684210527
Everton,61,-1,0.47368421052631576
Bolton,58,5,0.42105263157894735
Liverpool,58,11,0.4473684210526316
Middlesbrough,55,7,0.3684210526315789
Man City,52,8,0.34210526315789475
Tottenham,52,6,0.3684210526315789
Aston Villa,47,-7,0.3157894736842105
Charlton,46,-16,0.3157894736842105
Birmingham,45,-6,0.2894736842105263
Fulham,44,-8,0.3157894736842105
Newcastle,44,-10,0.2631578947368421
Blackburn,42,-11,0.23684210526315788
Portsmouth,39,-16,0.2631578947368421
West Brom,34,-25,0.15789473684210525
Norwich,33,-35,0.18421052631578946
Crystal Palace,33,-21,0.18421052631578946
Southampton,32,-21,0.15789473684210525
