Team,Points
Chelsea,87
Man City,79
Arsenal,75
Man United,70
Tottenham,64
Liverpool,62
Southampton,60
Swansea,56
Stoke,54
Crystal Palace,48
Everton,47
West Ham,47
West Brom,44
Leicester,41
Newcastle,39
Aston Villa,38
Sunderland,38
Hull,35
Burnley,33
QPR,30
