Team,Points,Goal_Diff,Win_Rate
Liverpool,54,40.0,0.85
Tottenham,48,25.0,0.7619047619047619
Man City,47,38.0,0.75
Chelsea,44,22.0,0.6190476190476191
Arsenal,41,15.0,0.5714285714285714
Man United,38,11.0,0.5238095238095238
Leicester,31,2.0,0.42857142857142855
Watford,29,-1.0,0.38095238095238093
Wolves,29,-2.0,0.38095238095238093
West Ham,28,-3.0,0.38095238095238093
Bournemouth,27,-9.0,0.38095238095238093
Everton,27,0.0,0.3333333333333333
Brighton,26,-5.0,0.3333333333333333
Crystal Palace,22,-7.0,0.2857142857142857
Newcastle,18,-14.0,0.19047619047619047
Cardiff,18,-22.0,0.23809523809523808
Burnley,18,-21.0,0.23809523809523808
Southampton,16,-17.0,0.14285714285714285
Fulham,14,-28.0,0.14285714285714285
Huddersfield,10,-24.0,0.09523809523809523
