Team,Points
Chelsea,86
Man United,85
Arsenal,75
Tottenham,70
Man City,67
Aston Villa,64
Liverpool,63
Everton,61
Blackburn,50
Birmingham,50
Stoke,47
Fulham,46
Sunderland,44
Bolton,39
Wolves,38
Wigan,36
West Ham,35
Hull,30
Burnley,30
Portsmouth,28
