Team,Points,Goal_Diff,Win_Rate
Chelsea,93,52,0.7894736842105263
Tottenham,86,60,0.6842105263157895
Man City,78,41,0.6052631578947368
Liverpool,76,36,0.5789473684210527
Arsenal,75,33,0.6052631578947368
Man United,69,25,0.47368421052631576
Everton,61,18,0.4473684210526316
Southampton,46,-7,0.3157894736842105
Bournemouth,46,-12,0.3157894736842105
West Brom,45,-8,0.3157894736842105
West Ham,45,-17,0.3157894736842105
Leicester,44,-15,0.3157894736842105
Stoke,44,-15,0.2894736842105263
Swansea,41,-25,0.3157894736842105
Crystal Palace,41,-13,0.3157894736842105
Burnley,40,-16,0.2894736842105263
Watford,40,-28,0.2894736842105263
Hull,34,-43,0.23684210526315788
Middlesbrough,28,-26,0.13157894736842105
Sunderland,24,-40,0.15789473684210525
