Team,Points,Goal_Diff,Win_Rate
Man United,90,44,0.7368421052631579
Liverpool,86,50,0.6578947368421053
Chelsea,83,44,0.6578947368421053
Arsenal,72,31,0.5263157894736842
Everton,63,18,0.4473684210526316
Aston Villa,62,6,0.4473684210526316
Fulham,53,5,0.3684210526315789
Tottenham,51,0,0.3684210526315789
West Ham,51,-3,0.3684210526315789
Man City,50,8,0.39473684210526316
Stoke,45,-17,0.3157894736842105
Wigan,45,-11,0.3157894736842105
Bolton,41,-12,0.2894736842105263
Blackburn,41,-20,0.2631578947368421
Portsmouth,41,-19,0.2631578947368421
Sunderland,36,-20,0.23684210526315788
Hull,35,-25,0.21052631578947367
Newcastle,34,-19,0.18421052631578946
West Brom,32,-31,0.21052631578947367
Middlesbrough,32,-29,0.18421052631578946
