Team,Points,Goal_Diff,Win_Rate
Man United,75,32,0.5526315789473685
Arsenal,68,30,0.5
Newcastle,68,33,0.5
Liverpool,68,25,0.5
Aston Villa,61,13,0.4473684210526316
Chelsea,59,3,0.42105263157894735
Sheffield Weds,57,-1,0.3684210526315789
Wimbledon,56,3,0.39473684210526316
Leicester,47,-8,0.3157894736842105
Tottenham,46,-7,0.34210526315789475
Derby,46,-13,0.2894736842105263
Leeds,46,-10,0.2894736842105263
West Ham,42,-9,0.2631578947368421
Blackburn,42,-1,0.23684210526315788
Everton,42,-13,0.2631578947368421
Middlesbrough,42,-9,0.2631578947368421
Coventry,41,-16,0.23684210526315788
Southampton,41,-6,0.2631578947368421
Sunderland,40,-18,0.2631578947368421
Nott'm Forest,34,-28,0.15789473684210525
