Team,Points
Man United,89
Man City,89
Arsenal,70
Tottenham,69
Newcastle,65
Chelsea,64
Everton,56
Fulham,52
Liverpool,52
Norwich,47
West Brom,47
Swansea,47
Sunderland,45
Stoke,45
Wigan,43
Aston Villa,38
QPR,37
Bolton,36
Blackburn,31
Wolves,25
