Team,Points,Goal_Diff,Win_Rate
Man United,83,40,0.6578947368421053
Arsenal,78,43,0.6052631578947368
Newcastle,69,15,0.5526315789473685
Chelsea,67,30,0.5
Liverpool,64,20,0.47368421052631576
Blackburn,60,9,0.42105263157894735
Everton,59,-1,0.4473684210526316
Southampton,52,-3,0.34210526315789475
Man City,51,-7,0.39473684210526316
Tottenham,50,-11,0.3684210526315789
Charlton,49,-11,0.3684210526315789
Middlesboro,49,4,0.34210526315789475
Fulham,48,-9,0.34210526315789475
Birmingham,48,-8,0.34210526315789475
Leeds,47,1,0.3684210526315789
Aston Villa,45,-5,0.3157894736842105
Bolton,44,-10,0.2631578947368421
West Ham,42,-17,0.2631578947368421
West Brom,26,-36,0.15789473684210525
Sunderland,19,-44,0.10526315789473684
