Team,Points,Goal_Diff,Win_Rate
Arsenal,87,43,0.6842105263157895
Liverpool,80,37,0.631578947368421
Man United,77,42,0.631578947368421
Newcastle,71,22,0.5526315789473685
Leeds,66,16,0.47368421052631576
Chelsea,64,28,0.4473684210526316
West Ham,53,-9,0.39473684210526316
Tottenham,50,-4,0.3684210526315789
Aston Villa,50,-1,0.3157894736842105
Blackburn,46,4,0.3157894736842105
Southampton,45,-8,0.3157894736842105
Middlesbrough,45,-12,0.3157894736842105
Charlton,44,-11,0.2631578947368421
Fulham,44,-8,0.2631578947368421
Everton,43,-12,0.2894736842105263
Bolton,40,-18,0.23684210526315788
Sunderland,40,-22,0.2631578947368421
Ipswich,36,-23,0.23684210526315788
Derby,30,-30,0.21052631578947367
Leicester,28,-34,0.13157894736842105
