Team,Points,Goal_Diff,Win_Rate
Man United,89,56,0.7368421052631579
Chelsea,83,40,0.631578947368421
Arsenal,68,28,0.5
Liverpool,68,30,0.5263157894736842
Tottenham,60,3,0.4473684210526316
Everton,58,16,0.39473684210526316
Bolton,56,-5,0.42105263157894735
Reading,55,5,0.42105263157894735
Portsmouth,54,3,0.3684210526315789
Blackburn,52,-2,0.39473684210526316
Aston Villa,50,2,0.2894736842105263
Middlesbrough,46,-5,0.3157894736842105
Newcastle,43,-9,0.2894736842105263
Man City,42,-15,0.2894736842105263
West Ham,41,-24,0.3157894736842105
Fulham,39,-22,0.21052631578947367
Wigan,38,-22,0.2631578947368421
Sheffield United,38,-23,0.2631578947368421
Charlton,34,-26,0.21052631578947367
Watford,28,-30,0.13157894736842105
