Team,Points
Man United,89
Man City,78
Chelsea,75
Arsenal,73
Tottenham,72
Everton,63
Liverpool,61
West Brom,49
Swansea,46
West Ham,46
Norwich,44
Fulham,43
Stoke,42
Newcastle,41
Aston Villa,41
Southampton,41
Sunderland,39
Wigan,36
Reading,28
QPR,25
