Team,Points,Goal_Diff,Win_Rate
Man United,80,48,0.631578947368421
Arsenal,70,25,0.5263157894736842
Liverpool,69,32,0.5263157894736842
Leeds,68,21,0.5263157894736842
Ipswich,66,15,0.5263157894736842
Chelsea,61,23,0.4473684210526316
Sunderland,57,5,0.39473684210526316
Aston Villa,54,3,0.34210526315789475
Charlton,52,-7,0.3684210526315789
Southampton,52,-8,0.3684210526315789
Newcastle,51,-6,0.3684210526315789
Tottenham,49,-7,0.34210526315789475
Leicester,48,-12,0.3684210526315789
West Ham,42,-5,0.2631578947368421
Middlesbrough,42,0,0.23684210526315788
Derby,42,-22,0.2631578947368421
Everton,42,-14,0.2894736842105263
Man City,34,-24,0.21052631578947367
Coventry,34,-27,0.21052631578947367
Bradford,26,-40,0.13157894736842105
