Team,Points
Man United,90
Liverpool,86
Chelsea,83
Arsenal,72
Everton,63
Aston Villa,62
Fulham,53
Tottenham,51
West Ham,51
Man City,50
Stoke,45
Wigan,45
Bolton,41
Blackburn,41
Portsmouth,41
Sunderland,36
Hull,35
Newcastle,34
West Brom,32
Middlesbrough,32
