Team,Points,Goal_Diff,Win_Rate
Man City,86,65,0.7105263157894737
Liverpool,84,51,0.6842105263157895
Chelsea,82,44,0.6578947368421053
Arsenal,79,27,0.631578947368421
Everton,72,22,0.5526315789473685
Tottenham,69,4,0.5526315789473685
Man United,64,21,0.5
Southampton,56,8,0.39473684210526316
Stoke,50,-7,0.34210526315789475
Newcastle,49,-16,0.39473684210526316
Crystal Palace,45,-15,0.34210526315789475
Swansea,42,0,0.2894736842105263
West Ham,40,-11,0.2894736842105263
Aston Villa,38,-22,0.2631578947368421
Sunderland,38,-19,0.2631578947368421
Hull,37,-15,0.2631578947368421
West Brom,36,-16,0.18421052631578946
Norwich,33,-34,0.21052631578947367
Fulham,32,-45,0.23684210526315788
Cardiff,30,-42,0.18421052631578946
