Team,Points
Man United,87
Chelsea,85
Arsenal,83
Liverpool,76
Everton,65
Aston Villa,60
Blackburn,58
Portsmouth,57
Man City,55
West Ham,49
Tottenham,46
Newcastle,43
Middlesbrough,42
Wigan,40
Sunderland,39
Bolton,37
Fulham,36
Reading,36
Birmingham,35
Derby,11
