Team,Points,Goal_Diff,Win_Rate
Leicester,81,32,0.6052631578947368
Arsenal,71,29,0.5263157894736842
Tottenham,70,34,0.5
Man United,66,14,0.5
Man City,66,30,0.5
Southampton,63,18,0.47368421052631576
West Ham,62,14,0.42105263157894735
Liverpool,60,13,0.42105263157894735
Stoke,51,-14,0.3684210526315789
Chelsea,50,6,0.3157894736842105
Swansea,47,-10,0.3157894736842105
Everton,47,4,0.2894736842105263
Watford,45,-10,0.3157894736842105
West Brom,43,-14,0.2631578947368421
Bournemouth,42,-22,0.2894736842105263
Crystal Palace,42,-12,0.2894736842105263
Sunderland,39,-14,0.23684210526315788
Newcastle,37,-21,0.23684210526315788
Norwich,34,-28,0.23684210526315788
Aston Villa,17,-49,0.07894736842105263
