Team,Points
Man United,89
Chelsea,83
Arsenal,68
Liverpool,68
Tottenham,60
Everton,58
Bolton,56
Reading,55
Portsmouth,54
Blackburn,52
Aston Villa,50
Middlesbrough,46
Newcastle,43
Man City,42
West Ham,41
Fulham,39
Wigan,38
Sheffield United,38
Charlton,34
Watford,28
