Team,Points
Man City,100
Man United,81
Tottenham,77
Liverpool,75
Chelsea,70
Arsenal,63
Burnley,54
Everton,49
Leicester,47
Crystal Palace,44
Bournemouth,44
Newcastle,44
West Ham,42
Watford,41
Brighton,40
Huddersfield,37
Southampton,36
Stoke,33
Swansea,33
West Brom,31
