Team,Points
Leicester,81
Arsenal,71
Tottenham,70
Man United,66
Man City,66
Southampton,63
West Ham,62
Liverpool,60
Stoke,51
Chelsea,50
Swansea,47
Everton,47
Watford,45
West Brom,43
Bournemouth,42
Crystal Palace,42
Sunderland,39
Newcastle,37
Norwich,34
Aston Villa,17
