Team,Points
Man City,86
Liverpool,84
Chelsea,82
Arsenal,79
Everton,72
Tottenham,69
Man United,64
Southampton,56
Stoke,50
Newcastle,49
Crystal Palace,45
Swansea,42
West Ham,40
Aston Villa,38
Sunderland,38
Hull,37
West Brom,36
Norwich,33
Fulham,32
Cardiff,30
