Team,Points,Goal_Diff,Win_Rate
Man United,82,38,0.6578947368421053
Newcastle,78,29,0.631578947368421
Liverpool,71,36,0.5263157894736842
Aston Villa,63,17,0.47368421052631576
Arsenal,63,17,0.4473684210526316
Blackburn,61,14,0.47368421052631576
Everton,61,20,0.4473684210526316
Tottenham,61,12,0.42105263157894735
Nott'm Forest,58,-4,0.39473684210526316
West Ham,51,-9,0.3684210526315789
Chelsea,50,2,0.3157894736842105
Leeds,43,-17,0.3157894736842105
Middlesbrough,43,-15,0.2894736842105263
Wimbledon,41,-15,0.2631578947368421
Sheffield Weds,40,-13,0.2631578947368421
Man City,38,-25,0.23684210526315788
Coventry,38,-18,0.21052631578947367
Southampton,38,-18,0.23684210526315788
QPR,33,-19,0.23684210526315788
Bolton,29,-32,0.21052631578947367
