Team,Points,Goal_Diff,Win_Rate
Man United,80,41,0.6052631578947368
Chelsea,71,36,0.5526315789473685
Man City,71,27,0.5526315789473685
Arsenal,68,29,0.5
Tottenham,62,9,0.42105263157894735
Liverpool,58,15,0.4473684210526316
Everton,54,6,0.34210526315789475
Fulham,49,6,0.2894736842105263
Aston Villa,48,-11,0.3157894736842105
West Brom,47,-15,0.3157894736842105
Sunderland,47,-11,0.3157894736842105
Bolton,46,-4,0.3157894736842105
Stoke,46,-2,0.34210526315789475
Newcastle,46,-1,0.2894736842105263
Blackburn,43,-13,0.2894736842105263
Wigan,42,-21,0.23684210526315788
Wolves,40,-20,0.2894736842105263
Birmingham,39,-21,0.21052631578947367
Blackpool,39,-23,0.2631578947368421
West Ham,33,-27,0.18421052631578946
