Team,Points,Goal_Diff,Win_Rate
Man United,89,43,0.7368421052631579
Man City,78,32,0.6052631578947368
Chelsea,75,36,0.5789473684210527
Arsenal,73,35,0.5526315789473685
Tottenham,72,20,0.5526315789473685
Everton,63,15,0.42105263157894735
Liverpool,61,28,0.42105263157894735
West Brom,49,-4,0.3684210526315789
Swansea,46,-4,0.2894736842105263
West Ham,46,-8,0.3157894736842105
Norwich,44,-17,0.2631578947368421
Fulham,43,-10,0.2894736842105263
Stoke,42,-11,0.23684210526315788
Newcastle,41,-23,0.2894736842105263
Aston Villa,41,-22,0.2631578947368421
Southampton,41,-11,0.23684210526315788
Sunderland,39,-13,0.23684210526315788
Wigan,36,-26,0.23684210526315788
Reading,28,-30,0.15789473684210525
QPR,25,-30,0.10526315789473684
