Team,Points,Goal_Diff,Win_Rate
Man United,91,52,0.7368421052631579
Arsenal,73,30,0.5789473684210527
Leeds,69,15,0.5526315789473685
Liverpool,67,21,0.5
Chelsea,65,19,0.47368421052631576
Sunderland,58,1,0.42105263157894735
Aston Villa,58,11,0.39473684210526316
Leicester,55,0,0.42105263157894735
West Ham,55,-1,0.39473684210526316
Tottenham,53,8,0.39473684210526316
Middlesbrough,52,-6,0.3684210526315789
Newcastle,52,9,0.3684210526315789
Everton,50,10,0.3157894736842105
Coventry,44,-7,0.3157894736842105
Southampton,44,-17,0.3157894736842105
Derby,38,-13,0.23684210526315788
Bradford,36,-30,0.23684210526315788
Wimbledon,33,-28,0.18421052631578946
Sheffield Weds,31,-32,0.21052631578947367
Watford,24,-42,0.15789473684210525
