Team,Points,Goal_Diff,Win_Rate
Blackburn,89,41,0.6428571428571429
Man United,88,49,0.6190476190476191
Nott'm Forest,77,29,0.5238095238095238
Liverpool,74,28,0.5
Leeds,73,21,0.47619047619047616
Newcastle,72,20,0.47619047619047616
Tottenham,62,8,0.38095238095238093
QPR,60,2,0.40476190476190477
Wimbledon,56,-17,0.35714285714285715
Chelsea,54,-5,0.30952380952380953
Southampton,54,-2,0.2857142857142857
Arsenal,51,3,0.30952380952380953
Sheffield Weds,51,-8,0.30952380952380953
Coventry,50,-18,0.2857142857142857
Everton,50,-7,0.2619047619047619
West Ham,50,-4,0.30952380952380953
Man City,49,-11,0.2857142857142857
Aston Villa,48,-5,0.2619047619047619
Crystal Palace,45,-15,0.2619047619047619
Norwich,43,-17,0.23809523809523808
Leicester,29,-35,0.14285714285714285
Ipswich,27,-57,0.16666666666666666
