Team,Points,Goal_Diff,Win_Rate
Chelsea,87,41,0.6842105263157895
Man City,79,45,0.631578947368421
Arsenal,75,35,0.5789473684210527
Man United,70,25,0.5263157894736842
Tottenham,64,5,0.5
Liverpool,62,4,0.47368421052631576
Southampton,60,21,0.47368421052631576
Swansea,56,-3,0.42105263157894735
Stoke,54,3,0.39473684210526316
Crystal Palace,48,-4,0.34210526315789475
Everton,47,-2,0.3157894736842105
West Ham,47,-3,0.3157894736842105
West Brom,44,-13,0.2894736842105263
Leicester,41,-9,0.2894736842105263
Newcastle,39,-23,0.2631578947368421
Aston Villa,38,-26,0.2631578947368421
Sunderland,38,-22,0.18421052631578946
Hull,35,-18,0.21052631578947367
Burnley,33,-25,0.18421052631578946
QPR,30,-31,0.21052631578947367
