Team,Points,Goal_Diff,Win_Rate
Man United,92,42,0.6428571428571429
Blackburn,84,27,0.5952380952380952
Newcastle,77,41,0.5476190476190477
Arsenal,71,25,0.42857142857142855
Leeds,70,26,0.42857142857142855
Wimbledon,65,3,0.42857142857142855
Sheffield Weds,64,22,0.38095238095238093
QPR,60,1,0.38095238095238093
Liverpool,60,4,0.40476190476190477
Aston Villa,57,-4,0.35714285714285715
Coventry,56,-2,0.3333333333333333
Norwich,53,4,0.2857142857142857
West Ham,52,-11,0.30952380952380953
Chelsea,51,-4,0.30952380952380953
Man City,45,-11,0.21428571428571427
Tottenham,45,-5,0.2619047619047619
Everton,44,-21,0.2857142857142857
Ipswich,43,-23,0.21428571428571427
Southampton,43,-17,0.2857142857142857
Sheffield United,42,-18,0.19047619047619047
Oldham,40,-26,0.21428571428571427
Swindon,30,-53,0.11904761904761904
