Team,Points,Goal_Diff,Win_Rate
Liverpool,99,52,0.8421052631578947
Man City,81,67,0.6842105263157895
Man United,66,30,0.47368421052631576
Chelsea,66,15,0.5263157894736842
Leicester,62,26,0.47368421052631576
Tottenham,59,14,0.42105263157894735
Wolves,59,11,0.39473684210526316
Arsenal,56,8,0.3684210526315789
Sheffield United,54,0,0.3684210526315789
Burnley,54,-7,0.39473684210526316
Southampton,52,-9,0.39473684210526316
Everton,49,-12,0.34210526315789475
Newcastle,44,-20,0.2894736842105263
Crystal Palace,43,-19,0.2894736842105263
Brighton,41,-15,0.23684210526315788
West Ham,39,-13,0.2631578947368421
Aston Villa,35,-26,0.23684210526315788
Bournemouth,34,-25,0.23684210526315788
Watford,34,-28,0.21052631578947367
Norwich,21,-49,0.13157894736842105
