Team,Points,Goal_Diff,Win_Rate
Man City,100,79,0.8421052631578947
Man United,81,40,0.6578947368421053
Tottenham,77,38,0.6052631578947368
Liverpool,75,46,0.5526315789473685
Chelsea,70,24,0.5526315789473685
Arsenal,63,23,0.5
Burnley,54,-3,0.3684210526315789
Everton,49,-14,0.34210526315789475
Leicester,47,-4,0.3157894736842105
Crystal Palace,44,-10,0.2894736842105263
Bournemouth,44,-16,0.2894736842105263
Newcastle,44,-8,0.3157894736842105
West Ham,42,-20,0.2631578947368421
Watford,41,-20,0.2894736842105263
Brighton,40,-20,0.23684210526315788
Huddersfield,37,-30,0.23684210526315788
Southampton,36,-19,0.18421052631578946
Stoke,33,-33,0.18421052631578946
Swansea,33,-28,0.21052631578947367
West Brom,31,-25,0.15789473684210525
