Team,Points,Goal_Diff,Win_Rate
Man City,98,72,0.8421052631578947
Liverpool,97,67,0.7894736842105263
Chelsea,72,24,0.5526315789473685
Tottenham,71,28,0.6052631578947368
Arsenal,70,22,0.5526315789473685
Man United,66,11,0.5
Wolves,57,1,0.42105263157894735
Everton,54,8,0.39473684210526316
Leicester,52,3,0.39473684210526316
West Ham,52,-3,0.39473684210526316
Watford,50,-7,0.3684210526315789
Crystal Palace,49,-2,0.3684210526315789
Bournemouth,45,-14,0.34210526315789475
Newcastle,45,-6,0.3157894736842105
Burnley,40,-23,0.2894736842105263
Southampton,39,-20,0.23684210526315788
Brighton,36,-25,0.23684210526315788
Cardiff,34,-35,0.2631578947368421
Fulham,26,-47,0.18421052631578946
Huddersfield,16,-54,0.07894736842105263
