Team,Points,Goal_Diff,Win_Rate
Man United,87,58,0.7105263157894737
Chelsea,85,39,0.6578947368421053
Arsenal,83,43,0.631578947368421
Liverpool,76,39,0.5526315789473685
Everton,65,22,0.5
Aston Villa,60,20,0.42105263157894735
Blackburn,58,2,0.39473684210526316
Portsmouth,57,8,0.42105263157894735
Man City,55,-8,0.39473684210526316
West Ham,49,-8,0.34210526315789475
Tottenham,46,5,0.2894736842105263
Newcastle,43,-20,0.2894736842105263
Middlesbrough,42,-10,0.2631578947368421
Wigan,40,-17,0.2631578947368421
Sunderland,39,-23,0.2894736842105263
Bolton,37,-18,0.23684210526315788
Fulham,36,-22,0.21052631578947367
Reading,36,-25,0.2631578947368421
Birmingham,35,-16,0.21052631578947367
Derby,11,-69,0.02631578947368421
