Team,Points,Goal_Diff,Win_Rate
Tottenham,9,3.0,1.0
Man United,7,5.0,0.6666666666666666
Everton,7,4.0,0.6666666666666666
Chelsea,7,5.0,0.6666666666666666
Liverpool,7,5.0,0.6666666666666666
West Ham,7,5.0,0.6666666666666666
Leicester,6,-1.0,0.6666666666666666
Brighton,6,1.0,0.6666666666666666
Man City,6,9.0,0.6666666666666666
Brentford,5,2.0,0.3333333333333333
Aston Villa,4,1.0,0.3333333333333333
Watford,3,-2.0,0.3333333333333333
Leeds,2,-4.0,0.0
Southampton,2,-2.0,0.0
Crystal Palace,2,-3.0,0.0
Burnley,1,-3.0,0.0
Newcastle,1,-4.0,0.0
Arsenal,0,-9.0,0.0
Wolves,0,-3.0,0.0
Norwich City,0,-9.0,0.0
